IDENT,LATITUDE,LONGITUDE
ABALA,66.658194,23.0
ABAMA,57.986639,15.569611
AGMOL,64.720333,15.098389
AKAVU,61.0,15.496389
AKIBA,59.212222,11.788611
ALAMI,59.047778,20.915833
APTUG,59.326556,19.138944
ARMOD,57.500722,17.346139
ARS13,59.455606,16.98965
ARS22,59.481111,17.357686
ARS41,59.171372,17.711511
ARTAB,61.0,18.421389
ASKEB,66.406194,23.282667
ASNIK,61.0,14.874444
ASTOS,56.120472,12.96125
ATLEM,64.611639,14.677889
BABAP,59.422278,18.707639
BAKIL,62.972222,17.936778
BAKLA,61.3625,19.415833
BAKLI,54.916667,13.560778
BALOX,55.035528,13.426972
BAMIP,65.946278,15.694917
BEDLA,59.628944,16.225028
BEDOS,57.359806,15.130639
BESLA,65.857528,22.31025
BUGAX,61.0,12.899167
DEGAL,60.638833,17.956667
DEGAV,57.728056,12.340222
DEGED,62.100278,16.812222
DEKIK,56.764444,14.30775
DEMOR,59.96125,15.245417
DEPEX,59.191944,15.022472
DERAX,56.678194,15.383806
DETMO,62.22975,16.974278
DETSO,58.6,14.264361
DETUS,55.022806,12.999667
DEXOP,66.940556,19.271944
DIRAV,63.822917,13.651889
EDAXA,62.781667,19.632139
ELBOG,65.162667,21.514833
ELPAX,58.095472,15.273361
ELTOK,59.824444,16.989917
ELVIX,55.411861,14.094222
ENITI,61.0,14.162222
ESEBI,61.0,18.852222
ETOMI,61.715833,15.366389
ETRUS,55.473444,15.634833
EVKET,59.713056,15.341083
EVSIN,61.0,18.765278
GELMA,57.039611,14.203667
GEVRU,60.742778,14.329833
GIKAV,64.034306,13.793861
GIROR,55.06,14.406667
GIXUN,57.421167,11.869056
GOKEP,61.7525,14.391667
GORAX,55.806111,13.040556
GORPI,54.916667,15.655
INRER,56.052694,12.813667
IPKAL,58.130806,13.452667
KAL18,56.430675,15.31305
KAL19,56.440553,15.349939
KEKOV,54.949361,14.441167
KELIN,58.243583,12.054167
KEMAX,56.126444,13.453833
KETEL,64.199111,21.197222
KOGAV,60.081111,17.229611
KOLJA,56.0,16.814667
KOSED,68.104444,23.336111
KOSKA,59.182778,20.676111
KOTAM,56.13275,14.836667
LABAN,58.169389,13.294306
LAGIS,56.554944,15.937
LALIL,57.773472,12.177194
LAMOS,65.804722,21.948139
LAPIX,63.905778,20.47875
LAPSI,58.920528,14.305472
LASGI,56.113333,12.454444
LASLI,56.928361,12.011694
LEBNI,59.447222,11.76
LF038,56.257592,15.264792
LIDNA,66.331111,15.460833
LINSA,59.724528,17.411694
LIVLI,67.261944,16.813333
LP016,56.517258,15.337011
LP032,56.287139,15.270869
LP038,56.2773,15.26835
LUGIL,62.391667,14.432778
LURAR,58.318222,14.951028
MADDE,56.584833,15.884472
MALIV,55.162722,13.036861
MAVIP,62.939917,13.082083
MAXUM,55.66125,13.604
MEGEN,60.018333,14.408556
MIKNA,57.907028,15.921972
MISMA,56.64125,13.202806
MOGLU,59.125,11.769167
MOKNI,57.646306,15.068056
MOPEN,61.178333,14.356111
MOVIS,57.219361,16.34725
MOXAM,58.531361,13.313917
NARIT,59.845611,16.739056
NAXEL,59.569194,18.454972
NB122,59.357619,17.929636
NB302,59.528758,17.478706
NEBET,67.034722,23.716944
NEBSI,58.904972,20.94125
NEBUR,65.557778,14.508333
NEGIL,58.251333,12.625333
NEKLA,59.0,19.263639
NEMBA,57.158722,14.370472
NETAV,63.996278,14.2435
NEVUB,61.0,14.345278
NEXIL,56.339139,13.733111
NILEN,56.728972,13.321833
NILUG,58.815833,17.884722
NISLO,55.4825,12.884722
NITMU,64.549444,17.766389
NOGBO,64.462583,14.113889
NOSLI,59.072778,17.258111
NOVRI,68.545,20.662222
NTL32,59.279183,18.278794
OBIVO,61.723806,12.137694
ODNEL,61.0,14.031389
OGRIN,67.732639,19.302556
OKLEV,61.971556,17.605
OLANU,57.468972,17.718583
OSKIR,65.670833,19.615556
OSLAV,62.726361,15.183306
OSLOB,59.094444,11.822944
OSPIL,61.836444,12.418417
OU183,59.158747,18.005244
OU302,59.351031,17.954739
OVDAL,62.395167,13.201472
PELIT,59.200417,15.687806
PELUP,58.278833,16.477917
PENOR,55.638611,17.161389
PEPIL,59.78175,14.563861
PERAX,60.076111,16.381389
PERRY,55.776778,13.962833
PEVEL,62.013056,17.863444
PIPIV,61.0,15.724722
R2272,56.277625,15.268231
R2273,59.358669,17.929642
R2970,56.256931,15.262547
RAPUP,61.0,18.211111
RASEN,63.811806,19.097556
RASMU,56.758389,13.815278
REGMA,59.108889,11.349444
REKMI,65.182972,19.472556
REKMO,55.989444,12.79
RESNA,60.366944,18.024833
RISEM,65.219056,21.242111
RISMA,57.041944,11.979167
RIXAN,66.741667,19.949389
ROGMI,58.193778,18.00175
ROSMO,63.699611,20.794222
ROVPA,60.733778,12.3955
ROXEN,56.564528,14.033389
RUMAR,55.033528,16.070889
RUSUT,61.0,17.864444
SABAK,58.176556,11.642722
SALLO,54.916667,13.386194
SIMEG,55.250028,13.501194
SIPRI,60.845611,18.751722
SOPLI,64.234306,20.7405
SORLA,57.3,20.0
SUMAK,59.953889,12.307222
TABUT,59.519167,15.917083
TEB13,59.596669,18.626967
TEB19,59.451075,17.585919
TEB50,59.211386,16.699167
TEB70,59.590017,18.583097
TEB71,59.591864,18.595264
TEB92,59.19715,17.231178
TELMO,55.054611,14.116278
TESPO,56.337778,17.228611
TIGBA,62.937222,12.125278
TINKA,59.205194,16.296389
TIPEL,67.261944,16.33
TOGMI,61.761944,19.540278
TOKSI,57.155583,13.911028
TOMBU,59.229444,19.567833
TONSA,58.609139,16.52025
TOPLA,57.135861,12.338944
TORVA,59.412444,16.211972
TRS22,59.209036,17.979786
TRS26,59.21365,18.170425
TRS27,59.386819,17.471494
TRS48,59.005869,17.665131
TRS65,59.045989,17.494897
UMLAX,61.0,17.069694
UMSOM,63.332056,20.039111
UNKAS,64.885833,20.319417
USIKI,66.2575,15.395
VAGAS,67.349222,20.152139
VEKOX,61.0,13.329722
VERAG,65.125528,21.987083
VEVIG,61.0,18.9475
VIBAR,57.578139,16.390639
XAPOG,61.0,18.638333
XAXAX,61.0,17.508056
XENTA,58.691444,11.482722
XILAN,59.659306,19.076056
XONTU,65.940556,24.076667
ABAXI,66.785,15.875833
ABENI,59.237861,17.088778
ADVIS,55.384722,13.006389
ALOLA,59.260083,18.618444
AMPAD,64.315556,19.834444
AMROR,54.89,15.097222
AMSUR,56.100556,12.563889
ARGIB,59.848056,16.744722
ARPIV,61.653889,13.165833
ATRIB,56.423333,12.513333
BABSI,55.930111,13.199472
BAGLO,57.421444,18.174417
BALOT,65.109444,17.281306
BALVI,59.745833,17.590278
BAMAX,57.956694,14.191
BASTI,65.461111,22.710389
BELRO,58.758139,16.433611
BENGI,57.822306,14.80625
BENKA,63.310472,15.409056
BEXAM,56.843861,16.134972
BEXUL,65.592778,24.153889
BIKRU,54.916667,14.166667
BODRI,62.415,19.824167
BOLPA,65.634667,21.505861
BOMGU,58.906667,10.718611
DEDIT,63.25825,20.450611
DEMUS,57.453694,18.362611
DEREX,57.672778,20.210833
DESAS,55.613056,13.160556
DETNA,57.587611,11.069056
DETNI,54.916667,14.344167
