IDENT,LATITUDE,LONGITUDE
ABVON,1.341111,103.974167
ADNIK,1.280833,103.948611
AKIPO,1.232222,103.928056
AKTOD,-0.413333,105.993056
ANBUS,1.265556,103.350556
ANUMA,1.181389,103.906667
APIPA,1.105,103.874444
ASUNA,0.996667,103.165
ATETI,1.427778,108.5
ATVIX,0.04,106.248056
BAVAL,0.755,104.045
BIDAG,7.516944,113.928889
BILIS,5.145,112.256111
BOBAG,1.041667,103.498333
BOBOB,2.368333,107.099444
BOKIP,1.0725,103.731389
BUVAL,3.606111,103.728056
DAMOG,4.206944,105.003889
DOLOX,4.811389,105.379722
DOVOL,3.513056,103.823056
DUBSA,3.816944,104.761111
EGOLO,3.326111,104.013056
ELGOR,3.503889,105.805
ENREP,4.873056,104.245
ESLUX,1.312222,103.977778
ESPIT,2.003056,107.44
EXOMO,1.073611,104.159167
GOBIK,0.0,108.101667
HOSBA,1.33,104.405
IDMAS,0.816667,104.313333
IDUNA,1.384722,103.9925
IDURO,1.444167,104.0175
IDVAS,1.492778,104.038056
IGARI,6.936111,103.585
IGULA,1.542222,104.058889
IKUKO,5.753333,103.223333
IKUMI,5.893889,103.919167
IPNAK,1.619722,104.091667
KIKOR,-0.378889,107.09
KILOT,3.038056,104.673056
LAGOT,7.275556,111.545278
LAGUS,1.320833,103.981667
LAMA,1.530442,103.9809
LAPOL,1.439536,103.742994
LASIN,1.260556,103.956111
LAXOR,9.826944,114.808056
LEBIN,3.243889,106.101111
LEGOL,1.348175,103.789828
LELON,1.211944,103.935556
LEPNA,1.113333,103.893889
LIDVA,1.084722,103.881944
LIPRO,2.895,105.191111
LUSMO,3.561389,106.926111
LUXOL,1.300556,103.973056
MABAL,3.473889,105.21
MABLI,4.288056,106.213056
MUMSO,3.738889,105.536944
NE020,-0.208272,104.404861
NIMIX,1.414444,107.990556
NODIN,8.183333,116.195
NOPAT,4.386944,104.798889
NYLON,1.615556,104.106389
OBGET,1.385278,106.758611
OBLOT,1.715556,106.696389
OLKIT,4.836111,111.855
OLSAM,2.016389,106.64
OMBAP,2.521111,106.545
OMLIV,2.92,106.47
ONAPO,3.354444,106.388333
OPULA,3.531944,106.355
OTLON,3.131111,104.335
PLA11,1.232197,103.796506
PLA14,1.193703,103.764419
PU001,1.484533,103.960336
PU002,1.391853,103.921878
PU020,1.758333,103.97
R1799,1.348956,103.977436
R1865,1.328742,103.984953
R1866,1.37605,103.988881
REMES,0.728333,103.959722
REPOV,0.273056,104.05
ROBMO,2.911111,103.95
SABIP,2.161111,107.845556
SAMKO,1.091389,103.881667
SANOS,-0.701111,106.316944
SJ090,-0.268333,104.155
SJ091,-0.039953,104.699544
SUSAR,3.98,105.263056
TERIX,4.255833,109.582222
TODAM,6.527222,112.593333
TOMAN,1.363056,105.788056
UDONI,0.805,104.135
UGPEK,3.613056,104.131111
URIGO,3.418056,104.113056
VEPLI,3.873056,104.095
VERIN,2.558889,106.406944
VISAT,3.438889,104.526111
VTK03,1.369125,104.002761
VTK26,1.455464,104.039175
VTK91,1.555675,104.081444
VTK96,-0.023333,104.734722
AGOBA,1.977778,108.5
AKMON,8.215556,110.218889
AKOMA,1.756111,103.911944
ANITO,-0.283333,104.866667
ARAMA,1.615,103.12
ARUPA,0.527778,108.812778
ASISU,5.985,113.346111
BATOT,1.325,104.000833
BEKTA,1.264167,103.975278
BELAT,1.215556,103.954722
BIDUS,1.598333,103.965
BIGMO,1.191389,103.944444
BIKTA,2.726944,103.718889
BIPOP,1.5225,104.171667
BITEP,1.088611,103.901111
BONSU,1.324444,103.619444
BUNTO,2.668889,105.998056
DAMAL,2.331944,103.086667
DOBLU,1.063056,104.220833
DOKTA,1.435,104.177778
DOSNO,0.799167,104.235833
DOVAN,1.327222,104.213611
DUDIS,7.0,106.809444
DUNAL,1.027222,103.968889
EGORA,1.605833,104.101944
ELALU,1.5775,104.09
ELBEB,1.478889,104.048333
ELMIN,1.430278,104.027778
ESBIT,1.37,104.002222
ESPOB,7.0,105.554722
GUPTA,2.163333,102.641667
IBULA,0.843333,104.6
IDSEL,3.408889,103.928889
IGNON,1.146389,104.215833
IKIMA,0.720556,104.916667
IPRIX,7.0,104.131944
KAMIN,2.578889,108.926944
KARTO,1.19,105.561944
KASRI,2.054722,102.886944
KETOD,3.178889,104.161944
KEXAS,1.171944,104.805
KIBOL,2.874722,104.468056
LAVAX,1.163889,104.453889
LELIB,1.458056,103.413889
LENDA,2.69,104.658889
MAKUM,1.363333,104.016944
MANIM,3.241944,104.098056
MASNI,1.343611,103.629444
MELAS,7.088889,108.153056
MEMUS,1.423889,104.042778
MILIN,1.4725,104.063056
MOLRO,1.496944,104.073333
MOSTU,1.599722,104.116944
NITAD,1.549167,104.031667
NIVAM,2.613889,104.041111
NOMAK,1.561111,104.066667
OBDAB,3.198056,104.093889
PADLI,3.155,103.525833
PARDI,-0.566667,104.216667
PASPU,1.9875,104.105
PEKLA,2.576944,104.105
PIBAP,2.506389,104.105
PIMOK,1.446667,103.335556
POSUB,1.456944,104.13
RAXIM,3.055,104.286944
REKOP,1.551667,103.089167
RUTOT,1.248056,104.33
SABUG,1.265,104.053333
SANAT,1.13,103.991389
SANAX,1.13,103.991389
SAPAT,2.536111,102.041667
SAPAX,1.330556,103.899444
SUDPO,1.291944,103.968889
SUMLA,8.045,116.015
SUNVA,1.298889,103.956111
SUSIN,1.208056,103.968889
TAROS,0.7,102.268611
TAXUL,3.843056,103.676944
TEGID,8.948889,115.861944
TERUS,2.026389,103.219167
TOKIM,1.4925,104.054167
TOPOM,1.498611,104.040833
TOPOR,1.736667,102.891667
UKASA,2.879167,103.650278
VENLI,6.48,102.816667
VENTU,0.096667,105.113333
VINIK,8.641667,116.23
VINIL,2.916667,104.105
