IDENT,LATITUDE,LONGITUDE
ABISO,46.262392,14.352258
ADOMO,45.971233,14.645031
ALIVO,45.523439,14.739067
ARGOM,45.794553,15.427367
ARLON,46.413822,15.029764
ARMIX,45.482461,14.267878
BARPI,45.585806,13.522864
BASTA,46.128344,14.643356
BEDOX,46.266039,15.826233
BUGEV,45.465569,13.773442
BUSET,45.501772,14.224164
DEGUM,46.465864,13.699278
DIPSA,46.609606,14.922244
EBITI,46.059919,14.985525
EPODO,46.195992,14.077028
GOLVA,46.708769,15.652372
GORPA,45.773075,15.353242
IDRIG,45.950114,14.085008
IRLIX,46.422506,15.694289
KANIN,46.440464,13.628689
LAPNA,46.535497,15.520431
LBL14,46.097831,14.702353
LBL32,46.085933,14.649819
LBL40,46.066047,14.617125
LBL75,46.022072,14.441036
LJB11,46.109744,14.679272
LUPIX,46.068275,14.759758
MAGAM,45.972669,15.702931
MAXUR,45.745908,14.910311
MG042,46.216019,14.476208
MIRSO,46.475986,15.841981
MUREG,46.706736,15.80805
NEMEK,45.574667,15.298033
NIDLO,46.804175,15.9956
NIPEL,46.489472,14.032597
OBUTI,46.378303,16.27405
OGODI,45.974742,13.895464
PENEX,46.133047,14.298747
PESUT,46.237475,13.716203
PETOV,46.309675,15.976167
R2246,46.214878,14.474825
RADLY,46.646858,15.209175
RATGO,46.546183,16.037028
RIFEN,45.851111,13.589722
ROKSA,45.495017,15.007147
ROPUS,46.091372,14.191969
TELSI,46.428542,14.296667
UPETA,46.05465,14.098256
VALLU,46.291589,15.336317
VANAX,46.041117,15.731436
