IDENT,LATITUDE,LONGITUDE
ABITU,48.333333,18.324722
ABLOM,48.067567,17.087703
AMRAX,48.091389,19.366111
ANEXA,47.854722,18.486111
B0001,48.189139,17.1839
B0002,48.1903,17.182117
BABKO,49.611667,19.469444
BADOV,48.021228,18.815872
BERVA,48.6175,17.541111
BILNA,49.393611,18.447222
BUKOB,49.226886,18.310542
CENTR,48.608142,17.822264
CIFER,48.324567,17.436053
CN077,48.495128,17.775831
CN177,48.494597,17.778794
CNB63,48.471692,17.872372
DEDIS,48.630556,20.725556
DEMOP,48.174722,20.056944
EBENI,48.7275,21.592778
EPEDA,48.873611,19.957222
EXIDA,48.6675,21.091111
GORUP,48.655278,21.955833
GOSID,49.107311,19.812475
JAN08,48.130367,17.731875
JAN10,48.238117,17.311914
JAN11,48.040994,18.024783
JAN12,48.060786,17.956353
JAN13,48.395053,17.533319
JAN21,48.528208,17.526289
JAN42,48.251708,17.646717
JAN95,48.033511,17.521983
KELEL,49.313611,20.175278
KOPAT,49.106389,18.654444
LASOT,48.634722,22.245833
LEDRI,48.090833,17.182778
LENOV,49.336389,21.010278
MALBE,48.823889,22.375
MARKA,48.902222,20.693611
MAVOR,48.821389,17.5375
MEBAN,49.455,19.646667
NIDOK,48.885833,18.811944
NIT05,48.240511,17.950811
NIT08,48.302344,17.851753
NIT12,48.170467,17.811381
NIT17,48.399597,17.642531
NIT21,48.408475,17.550692
NIT28,48.396497,17.676956
NIT72,48.320961,17.528369
NOKRI,48.9175,21.163611
OB011,48.021394,17.442894
OB074,48.084106,17.346539
OB101,48.0982,17.3787
OB249,48.082239,17.157333
ODNEM,48.853333,17.167778
ODPIL,49.025556,20.701389
OKR18,48.136528,17.178633
OKR65,48.255572,17.335636
OKR71,48.2452,17.3719
PATAK,48.073056,19.127222
PETOP,48.965833,21.363611
PITOK,48.323958,20.370836
R1756,48.1796,17.226464
R1757,48.158822,17.230167
R1758,48.616389,17.825383
REDSI,49.233333,19.639444
REKLU,48.5875,16.937778
RUTOL,47.958056,18.51
SERED,48.290692,17.701353
SLC60,49.216775,18.152228
SOMID,48.505278,17.717222
SUBET,49.264722,18.907222
SUPAK,49.303611,19.799722
TABIN,48.015278,18.084444
TAGOD,48.510833,19.615833
TAKOS,48.5825,20.266667
TEPNI,48.696189,19.852483
TOVKA,48.270278,16.926389
ULPUK,48.776667,19.624444
VYDRA,48.0358,17.545719
XELEN,48.386667,17.769722
XENAK,48.119444,17.299722
