IDENT,LATITUDE,LONGITUDE
APTON,14.578333,-17.457139
ARLEM,0.391667,-7.745
ASEBA,7.310978,-28.218889
ASOBU,4.353611,-24.226667
ATANI,-3.436667,-13.235
BITEX,1.263333,-19.856667
BOMSA,13.968889,-18.0
BONVI,14.904917,-17.525056
BUTEM,-5.5,-10.0
BUVUK,5.5,-25.833333
BUXON,8.484006,-29.782975
DELAX,8.336667,-26.051667
DEMOL,13.5425,-12.717778
DIGUN,9.660833,-31.370556
DISNO,14.043611,-14.819444
DIVKA,16.687733,-18.0
ENURI,14.762778,-15.016667
ERIDI,13.193333,-15.130278
ERTOX,2.68,-18.593333
GASEL,12.5,-18.983333
IKTUL,-2.726667,-12.228333
INIRO,13.331944,-18.427778
IPEKA,0.678333,-7.333333
IRALO,12.683333,-13.651667
IRAVU,6.859989,-27.621783
IRELA,14.0,-37.433333
KILGO,15.465,-19.408333
KOLAT,14.353333,-15.978333
KOMAB,12.746667,-14.467222
KOMOR,12.433333,-15.915
LIMEL,12.292778,-17.353056
LIROL,6.345,-22.975
LUMPO,15.68,-20.001389
LUSTI,12.318056,-16.483333
MAROA,6.435558,-27.061769
MIGED,-0.403333,-17.511667
MOGNI,8.558333,-26.845
NARAT,14.943333,-18.0
NELTO,9.795,-29.031667
NEVDI,16.532972,-16.098139
NURAS,14.222222,-15.484167
ONOBI,13.691667,-24.443056
POGRA,11.666667,-14.176667
POKSI,11.851072,-34.383897
R2376,14.726297,-17.476958
SAGMA,8.941667,-27.335
SAGRO,10.583333,-30.863333
SIBAX,0.726667,-16.29
SISTU,13.331944,-11.666667
TAROT,11.465,-19.666667
TINIS,6.96,-14.72
TITOR,13.0,-18.0
TUROT,4.571667,-12.165
UBATA,14.753611,-12.434722
URAPI,-9.858333,-3.893333
VOTAB,14.763333,-14.629167
XUKON,14.761389,-13.574444
