IDENT,LATITUDE,LONGITUDE
AMPEX,8.166667,55.0
AVIMO,3.548333,50.878333
BELTN,4.736644,45.181578
BOMIX,12.167222,50.465833
BUBEM,5.656667,47.485833
DAROT,9.19,47.353333
DEMGO,12.049444,48.511111
EGROV,11.345278,45.9825
EGTUL,7.344444,48.522778
EMALU,5.033333,49.95
EXAPO,9.253397,43.752811
HARGA,9.52,44.091667
ITMAR,-2.0,42.583333
KATHY,4.196667,48.656667
LOXIN,9.821667,58.893333
LUBAR,10.55,43.6
MERMI,10.800833,46.329722
MOGDU,2.006667,45.293333
MUSBI,8.221667,46.334
NABAM,10.186944,58.240556
OKTOB,11.791667,44.73
ORLID,11.285,60.0
PAKER,11.916667,46.583333
RAGGS,0.325,44.16
TULAP,1.3,43.583333
VEDET,12.026111,51.402778
ZIZAN,11.86,45.653333
