IDENT,LATITUDE,LONGITUDE
ACARI,1.957167,-56.489
BUXEX,6.75,-54.0
DIMAS,2.916667,-54.166667
ITASI,5.67,-55.816667
KETIL,5.886667,-55.7
MIKOK,5.254167,-54.302222
MILUX,6.25,-54.0
MINAL,5.305,-54.531667
NASON,4.908333,-54.483333
PARAN,5.461442,-55.066972
R1531,5.452739,-55.203494
TANGO,5.940619,-54.727792
VILAS,4.666667,-54.433333
ZANDY,5.452125,-55.306069
ZY003,5.454047,-55.134331
ZY004,5.457544,-55.250906
ZY005,5.456381,-55.100964
ZY006,5.461044,-55.284169
ZY011,5.569019,-55.325322
ZY013,5.590558,-55.350956
ZY014,5.452994,-55.207661
ZY029,5.469783,-55.367331
ZY030,5.526886,-55.405775
ZY057,5.58535,-55.058892
ZY060,5.451242,-55.174369
ZY073,5.463317,-55.305792
ZY074,5.525942,-55.054017
ZY086,5.497133,-55.041225
ZY088,5.501328,-55.007533
ZY09,5.452003,-55.326122
ZY297,5.484453,-55.331036
ZY298,5.495111,-55.362881
ZY300,5.492097,-55.329067
ZY309,5.514269,-55.3208
ZY312,5.521336,-55.317283
