IDENT,LATITUDE,LONGITUDE
ALERA,13.751389,-89.537222
ANAPO,12.53,-87.998889
BARAS,13.576944,-89.543056
CAT00,13.608678,-89.038794
CAT01,13.578153,-89.263172
CAT02,13.589286,-88.967364
CAT07,13.351561,-88.970783
CAT10,13.389581,-88.885031
CAT12,13.493108,-88.884961
CAT14,13.414639,-89.027161
CAT15,13.393328,-89.299697
CAT17,13.273986,-89.041789
CAT20,13.410272,-89.136814
CAT21,13.433072,-89.076069
CAT23,13.343881,-89.227303
CAT24,13.663222,-88.927131
CAT27,13.476239,-89.302003
CAT28,13.510533,-89.294592
CAT29,13.389617,-89.210375
CAT31,13.628064,-89.219661
CAT34,13.690214,-89.083522
CAT35,13.692317,-89.034308
CAT37,13.248861,-88.882881
CAT49,13.606844,-89.07455
CAT55,13.255008,-88.970886
CAT57,13.397667,-89.30035
CAT59,13.282186,-88.994944
CAT69,13.518925,-88.803536
CAT80,13.395453,-89.176264
CAT95,13.415519,-89.129075
CAT96,13.429497,-89.085167
DORLA,11.986069,-88.198556
GABOS,13.091667,-88.27
KOSTO,13.917222,-89.475278
LEMPA,13.551667,-88.707222
MORAM,14.093056,-89.014444
NOROS,12.774142,-88.604567
ONGOS,13.287222,-88.705833
PERLA,13.765556,-88.695278
PINDO,13.018611,-89.055556
R1520,13.435992,-89.069625
RELTA,14.103611,-89.150556
SEDRO,13.152778,-88.801111
SETRI,7.764811,-86.064194
SULMA,13.953333,-88.763333
YSV02,13.720411,-89.130825
YSV05,13.844658,-88.913711
YSV08,13.811494,-89.174292
YSV11,13.933839,-89.054108
YSV24,13.900733,-89.256425
YSV25,13.624894,-89.364492
YSV30,13.826803,-89.331983
YSV32,13.917744,-89.22505
YSV34,13.930319,-89.19155
YSV35,13.940697,-89.134286
YSV76,13.737864,-88.864039
