IDENT,LATITUDE,LONGITUDE
BIKIN,21.787517,-71.524036
CATHI,21.642842,-72.493219
COCBU,21.149886,-70.654361
EGANN,22.021306,-72.233942
GTK01,21.445831,-71.151369
GTK02,21.614728,-71.070267
GTK06,21.471661,-71.236406
GTK07,21.529831,-71.306469
GTK20,21.266561,-71.198317
GTK27,21.418106,-71.329525
GTK28,21.411842,-71.292281
GTK29,21.497447,-71.321469
GTK32,21.570789,-71.273547
GTK85,21.462983,-71.329586
MAYAG,21.704914,-71.631983
MICAS,22.131497,-72.445244
PAMMS,20.997122,-70.814411
PVN01,21.772386,-72.255278
PVN05,21.783825,-72.354689
PVN08,21.774483,-72.122786
PVN09,21.939467,-72.266019
PVN11,21.740203,-72.090283
PVN15,21.93855,-72.247281
PVN19,21.605867,-72.284717
PVN25,21.698811,-72.105158
PVN26,21.714919,-72.434219
PVN27,21.760447,-72.444633
PVN28,21.795394,-72.443369
PVN29,21.829331,-72.434353
PVN30,21.852697,-72.380489
PVN31,21.860775,-72.417969
PVN50,21.773647,-72.1765
PVN55,21.773375,-72.274886
PVN73,21.845453,-72.104994
PVN80,21.839067,-72.141903
PVN86,21.809744,-72.091497
PVN87,21.790772,-72.407894
PVN89,21.604953,-72.266019
PVN98,21.775033,-72.086978
RAHAM,22.379353,-72.187617
RAPPR,21.574167,-72.613333
SAAKO,21.060994,-71.389089
TAANA,20.943003,-70.973858
TOMAZ,21.308942,-71.847244
