IDENT,LATITUDE,LONGITUDE
ARBEG,13.231944,20.961111
BOLBE,13.423889,14.644722
CHARI,10.921111,15.5975
DEMOX,18.530278,16.0
DEPOS,13.48,14.990556
EDGUM,8.0,16.168889
ENERI,10.2675,15.895
ERESA,11.639167,19.779167
ETSAM,12.832778,18.701111
GAMUS,14.664722,17.018056
GANAL,13.550278,13.923333
GAPAN,12.620556,17.546111
GARIN,22.0,17.11
GUNEB,9.493056,19.0
ILDOR,20.160278,18.021944
IPONO,15.105833,22.41
ISDET,10.030278,15.240278
KELOT,14.462222,14.955278
KINTU,14.947222,20.283333
KIRBO,12.4,16.374722
KOBLA,13.800833,20.724722
LOSGO,10.808333,15.166389
MEKAL,9.399444,15.300278
MENIT,10.710556,17.13
NAMAD,14.982778,20.736944
NAPEN,12.979444,19.511944
NUROK,9.427778,16.275
ONLET,14.545278,14.296667
OVMEG,9.516389,20.293056
PODGA,14.853056,19.133889
RULDO,8.0,16.916667
SEMOK,16.0,14.899444
UMOSA,8.0,15.432222
USLOV,9.413889,15.786111
USPOK,14.398333,14.3425
VOSLI,10.155278,15.584444
XULAK,12.175,21.3475
