IDENT,LATITUDE,LONGITUDE
ABTOK,6.305,102.295556
ADNEP,8.062083,101.055056
AGEDO,13.405389,102.360722
AKATO,13.620981,99.171997
ALBOS,14.744928,101.028308
ALUMO,10.764969,101.85635
ANNDY,15.686644,100.296722
ANNIE,14.055444,100.204761
ANOBO,11.056389,102.244892
APRIL,11.0,99.721667
ATVUT,10.633792,102.382778
BARKY,15.374672,100.290061
BASIT,9.57985,102.352222
BATOK,13.935,101.898222
BEKOD,16.354783,99.776772
BETTY,14.712622,100.640294
BIDEM,14.364881,103.797242
BKK02,13.864275,100.579583
BKK05,13.823311,100.549514
BKK08,14.005928,100.670939
BKK12,14.070683,100.696789
BKK15,13.767825,100.373575
BKK25,13.864897,100.515642
BKK51,13.807558,100.354761
BKK61,13.993989,100.652422
BKK99,13.940675,100.623661
BOKAK,12.960086,102.496486
BOMAS,17.384672,98.096967
BORNA,7.902667,98.762953
BRUCE,13.562964,100.579586
BUT01,12.908331,101.035408
BUT05,12.9104,101.018256
BUT07,12.5545,101.0331
BUT08,12.710489,101.240336
BUT10,12.825606,101.022044
BUT11,12.858694,101.027389
BUT13,12.905092,101.052375
BUT15,12.643389,100.998903
BUT16,12.716275,101.27395
BUT17,12.551603,101.007078
BUT21,12.81,101.016
BUT22,12.760314,101.011711
BUT34,13.066686,100.864667
BUT50,12.75115,101.010022
CANDY,14.351206,101.293647
CHAMA,17.050983,100.101808
CHARY,15.175731,100.281125
CHRIS,13.940828,100.168997
CMA06,18.8484,99.021783
CMA11,18.91695,99.072261
CMA12,18.565203,98.961264
CMA16,18.383906,99.091328
CMA24,18.428972,99.190561
CMA25,19.108814,99.213817
CORRY,8.097386,97.802514
CTR07,19.848844,99.817736
CTR08,19.848817,99.823911
CTR12,19.763633,99.761547
CTR18,19.922681,99.866483
CTR40,20.012347,99.940289
CTR45,19.884344,99.841167
CTR99,19.760528,99.773483
DAINO,17.221681,102.599653
DELTA,17.343056,100.934944
DIRAX,11.001861,100.54675
DONLO,16.552817,100.291306
DONNA,14.113128,100.720922
DUBAX,6.432197,100.126839
DUGON,8.023547,102.096825
EBONE,8.12,98.425
EMELA,10.213664,101.124761
FRANK,14.087231,100.322881
GOMES,13.401706,101.584925
GRANT,13.864122,100.853708
GRASO,15.113967,103.788011
HELEN,13.616453,100.869639
HELTY,16.351994,100.291306
HONEY,14.217642,100.973642
HOTEL,13.001722,100.330083
IDAGA,11.001889,100.896694
IKULA,10.001917,97.353889
JACKY,14.974203,102.167903
JASSY,14.017711,100.544819
KADAX,6.267222,102.261583
KOYAI,7.168561,100.396106
KPS01,14.128614,99.931317
KRT02,14.953958,102.118797
KRT03,14.906158,102.030481
KRT10,14.851247,101.923783
KRT11,14.916728,102.046
KRT35,14.8581,101.959961
KRTT,14.934983,102.072808
LANNO,8.366175,97.86945
LUMPA,17.068525,100.133333
MACHI,19.206194,98.585194
MAILA,19.541925,99.572189
MAREE,6.651083,101.686542
MENAM,13.956694,102.791444
MENEX,11.141861,99.761833
MIYAA,14.019094,100.458275
MODON,8.505514,98.623867
MORIN,14.361764,100.685078
MOSTA,8.566689,98.085061
MUBAN,8.911353,101.497811
MUYOR,15.392581,104.678217
NAPAR,15.093592,100.266175
NARAT,6.740986,101.649547
NENAR,8.932408,99.407325
NISSA,17.1171,102.984478
NOBER,15.276556,100.668333
NORDY,17.360853,103.122678
NTW01,6.542597,101.75195
NTW02,6.663517,101.438903
NTW03,6.45335,101.714842
NTW04,6.581803,101.622661
NTW05,6.603833,101.779214
NTW06,6.568178,101.653283
NTW07,6.415722,101.708897
NTW08,6.625706,101.609639
NTW09,6.615858,101.546103
NTW10,6.680375,101.813308
NTW11,6.680272,101.677006
