IDENT,LATITUDE,LONGITUDE
ANVAR,37.999958,67.849147
BUTRA,39.349986,67.482456
DARMA,39.483328,68.132469
FIRUZ,36.666619,71.632578
GETLI,38.733311,68.127478
IVNAR,39.250006,70.465858
KURUT,37.838294,68.782503
MIRZO,39.533342,69.915842
OKTAB,38.181636,68.8925
PINAX,37.24995,69.099183
PINUD,38.553303,67.690803
RAMAN,37.616631,69.899197
RAPAT,38.166628,67.882478
RASID,38.249964,67.699142
SOPNO,38.543306,68.069144
TOPAZ,38.583331,71.632558
UTDK,37.988306,69.805858
UTDL,40.215022,69.695828
ZENAL,39.369997,69.115825
ZUREN,39.333328,68.882486
