IDENT,LATITUDE,LONGITUDE
ABDAN,38.594903,59.365631
ABDUR,38.013244,61.725686
ABEKO,39.574892,55.897214
ADIKO,37.031556,61.710697
AFGAN,38.399889,58.282278
AGART,38.14995,66.049106
AGMAL,39.799878,54.148847
AKRAM,39.894939,60.285628
ARKEK,37.599906,62.182367
ARSUV,38.879919,60.503983
ASHGA,39.531625,63.325697
ATMYT,37.813486,65.216897
ATREK,39.498206,54.02385
BABUM,39.823219,54.762189
BAHAR,38.7849,58.555611
BALAT,40.641592,57.098886
BEGLI,40.874911,55.013844
BELUG,37.749894,60.532331
BIBIM,39.694889,55.357203
BIKDA,37.859889,59.565644
BODBA,38.886569,58.627278
BUKEK,38.604867,55.517222
BUROT,38.499897,58.998958
DARVA,41.306639,60.427275
DERKI,38.531617,65.105747
DLONA,40.414947,59.747278
DOKAN,39.481575,57.992258
DOMOL,39.901597,59.085606
DURDY,39.734864,52.835489
DUTAR,38.654922,61.384003
EMGIL,37.858247,62.3257
GHNB,38.003214,58.333953
GIPUN,38.206606,64.715744
GIRAT,42.37665,59.277236
GIREK,41.723283,57.340539
GIRLA,36.41655,62.745725
GIRUN,38.1032,56.337247
GITAB,37.851594,64.292406
GONAK,37.716611,66.609122
GUDRA,37.969064,58.578583
GUMLI,38.028261,63.675725
HAZAR,39.4,53.183333
IDRIS,40.268239,55.748867
KEKAL,39.368231,56.807236
KEMOR,37.896553,59.213969
KENAL,37.056564,62.777386
KENEP,40.324925,57.760572
KENIP,38.384864,55.515561
KERUL,41.858233,52.137106
KESEK,39.283217,55.565547
LEMOD,36.166558,64.290761
LINDA,40.783267,57.632228
LITOR,39.901597,59.365611
MAGDY,37.783272,65.965775
MAHYM,39.831667,55.048333
MAMED,38.579889,57.698931
MANAT,39.078289,64.145719
MARAD,36.626544,61.462364
MARAL,41.359883,51.498772
MEDEP,39.014928,61.062325
MEGIL,40.464967,62.012322
MEKOL,37.499903,61.999031
METKA,40.724872,51.498783
MOLAD,39.271581,58.903944
NEBIT,41.006594,56.507203
NENIS,39.291667,52.636667
NESIR,42.33165,59.433906
NONIK,39.8649,56.23055
NURSA,37.358247,63.715733
OTBOR,41.471639,60.197269
OTGIB,42.064958,57.2322
OTRUZ,36.519875,61.155692
PEMAN,41.133261,56.300531
PODOK,38.753233,58.640614
R2503,38.000244,58.343139
R2504,37.983447,58.380847
RAMIK,38.804897,58.175603
RAPTA,37.449931,65.632439
RARUN,37.774928,64.549078
REGDI,39.606536,53.515506
REJEP,36.823333,62.063333
SAGAT,40.433333,60.511667
SAHET,39.168214,55.557214
SAPAR,39.489889,55.800547
SARKS,36.478333,61.408333
SOVOD,41.701644,60.110597
SUBAR,41.269928,56.075525
SUTAN,37.881556,59.365639
TABAB,40.903219,52.607133
TABIP,38.999903,58.332269
TABUN,42.273303,57.993878
TAKIP,41.041631,60.223942
TASHA,42.19165,59.712247
TELMI,37.616567,61.632356
TENGA,38.771589,60.935658
TIMGA,41.3433,59.667261
TISUN,38.106525,55.455564
TITIK,39.201597,60.905653
TUGAR,40.263206,52.587142
TUGTA,39.889883,54.44885
TUMBA,40.396608,59.282267
TUTMA,40.454961,61.282308
UGMUR,38.128931,58.214286
URABA,38.211561,59.335636
UTAM,37.619903,61.895692
UTAT,41.761642,59.825589
UTOMA,36.988239,63.835742
VARAN,39.89325,57.880581
VATIM,38.809925,61.242331
