IDENT,LATITUDE,LONGITUDE
ABATI,34.829444,10.959444
ABDIN,35.805833,11.29
ADRAM,35.713333,9.638611
ADRIL,36.776111,10.652778
AMINA,34.873228,10.451697
ARBES,33.475,9.832222
ARNEB,35.359722,10.038889
ATLEL,36.326389,10.917222
BAMGI,35.7175,10.425833
BARIM,36.830556,9.11
BATLO,33.799722,9.636944
BELED,36.4725,9.652778
BISKO,34.293056,10.727778
DERIV,37.979444,8.883611
DIDON,36.707222,11.031389
DIMAO,36.405,8.366667
DOPEL,38.5275,8.883611
ELJEM,35.421389,10.729167
ELKIS,38.261944,9.252778
FARES,32.163333,10.948333
GAF07,34.500533,8.927183
GAF15,34.56525,8.873808
GAF23,34.331911,8.677678
GAF35,34.542422,8.930572
GAF45,34.359078,8.658608
GAF53,34.489528,8.938167
GAF64,34.407081,8.643397
GAF99,34.354981,8.70735
GALIT,37.311944,8.883611
GASRI,33.935833,11.5
GIBLI,36.383889,10.452222
GILEX,33.903611,9.208611
GINEN,34.016667,9.920278
GIPRA,35.440278,10.880278
GIRID,32.980278,8.810833
GOLLA,36.687222,9.968333
ICANI,37.236111,10.640556
INSAT,33.064444,10.193056
KADRA,34.967667,10.705322
KBIRA,34.252222,10.551389
KEMIR,36.8375,9.420833
KESIB,32.575,9.8725
KIRAS,34.406111,9.920278
KOTOB,35.846111,10.100556
LABIP,36.827222,8.975
LARBI,36.223056,10.529167
LEMSA,33.461389,10.815
LILNA,34.280278,10.901667
LIRMI,34.243056,11.183056
LOBNA,36.152778,10.139722
MADIB,34.606111,10.416667
MAGIM,36.589444,9.118611
MAKEB,36.039444,9.005
MANED,33.468889,10.668056
MANEX,37.454444,10.35
MARSA,37.046389,10.458056
MAZRA,33.890833,10.271389
MEDAR,37.520556,10.261667
MITBA,33.655278,11.195
MORJA,36.834444,8.65
NAMAT,34.215833,9.2025
NASIR,32.648611,10.127778
NATLA,35.925556,9.513333
NAVED,35.676389,10.078889
NEBRO,36.353611,10.139722
NEDOS,35.152778,10.013056
OBAMI,35.839722,9.703333
OGLAT,34.243333,8.446389
ORSIN,34.466667,10.715278
OUTIK,36.948611,10.036389
PERAM,36.251389,9.320556
PIMES,33.396111,9.902778
R2279,36.867247,10.231411
R2280,36.845128,10.24515
RAMAM,36.418333,10.541389
RATBA,36.285833,9.933889
RELBA,34.891667,11.108611
REMDA,32.296111,10.376111
REMLA,34.066389,8.578333
RIGDA,33.190833,9.735556
RIMSA,34.366944,11.323889
RITMO,36.678056,9.065278
RIVIN,35.850833,9.557778
ROGBA,35.55,9.067222
SAMEK,38.001944,9.610278
SIRVI,37.442778,10.863333
SOKSA,36.546111,8.94
SOMRA,36.767778,9.206111
SONAK,36.621483,11.500653
SONED,36.083742,8.367158
SORAB,36.046111,11.338333
TALEL,37.059444,8.611389
TANIT,37.754167,9.9475
TANLI,33.493333,11.5
TEGBI,33.129444,10.582778
TELGA,36.646111,8.926944
TEMVA,35.616389,9.589167
TINAP,34.127778,10.370833
TIRBO,35.687778,11.266111
TISRI,36.6525,9.381389
TOBIB,37.402222,10.059167
TORPI,37.652778,9.552778
TOUBA,33.525,8.673333
TRIFA,34.181944,11.114167
TUC06,36.884125,10.112475
TUC11,36.911153,10.014183
TUC16,36.756231,10.472669
TUC23,36.714867,10.020908
TUC27,36.851278,9.960378
TUC28,36.881475,9.962897
TUC30,36.959828,9.996214
TUC42,37.012669,10.41135
TUC90,36.851278,10.500289
TUPAL,37.189167,11.5
VAPIK,38.161944,8.498611
VAXAL,36.284722,10.5
ZAHRA,36.730278,10.526667
