IDENT,LATITUDE,LONGITUDE
ADA03,36.97085,35.259931
ADA05,36.891581,35.126347
ADA08,36.838336,35.103625
ADA20,36.821675,35.135
ADA23,36.862106,35.075972
ADA30,36.970072,35.260869
ADA38,36.941781,35.209069
ADA39,36.9038,35.1436
ADA51,37.038625,35.378803
ADA80,36.863778,35.074286
ADASU,36.751111,31.388889
ADRES,37.171389,37.333611
AGINA,39.323333,44.086667
AKBUK,37.5,27.460556
AKCAK,41.428889,30.724722
AKSEK,36.926111,28.223056
ALFA,37.265317,35.467969
ALMUS,40.774167,36.665556
ALPAY,36.832222,29.999444
ALPER,39.960947,32.936014
ALPHA,39.788833,30.217167
ALRAM,37.708333,44.626667
ALTIN,36.765556,29.409167
ALTUN,38.762,26.754
ALVAR,39.995833,41.743056
ANK05,40.107294,32.9753
ANK07,39.975206,32.843156
ANK09,40.064542,32.930517
ANK15,39.9754,32.8426
ANK60,39.94345,32.698539
ANK80,40.062053,32.930417
ARKIN,39.929722,40.000556
ARLAT,41.096944,38.701944
ARPUT,38.842222,38.941944
ASKER,38.273889,38.774722
ASTAL,40.740556,33.124444
ATCOS,40.894167,28.632778
ATKAN,39.52,27.849444
AZBUL,39.382222,33.361944
BADEM,37.604444,38.66
BADOX,39.331944,33.975278
BAFRA,41.508611,35.966389
BAG06,39.990639,32.730286
BAG09,39.944594,32.683644
BAG10,39.931436,32.670331
BAG12,39.911694,32.650367
BAG15,39.8722,32.610478
BAG17,39.845864,32.583908
BAGLU,38.071111,29.325278
BAKIR,39.437778,33.324444
BALIK,38.342167,27.094333
BALIM,38.429722,41.124167
BALON,40.091667,39.608333
BALSU,37.458333,29.423611
BALUM,42.683333,37.666667
BANAZ,40.036111,36.838611
BANRO,36.494722,27.995278
BATUK,37.25,28.146667
BAYGA,40.616111,42.782222
BAYIR,38.594722,41.403889
BDR05,37.271714,27.567339
BDR07,37.279042,27.526594
BDR11,37.304775,27.437806
BDR12,37.307128,27.427781
BDR15,37.321217,27.367642
BDR24,37.261806,27.620189
BDR27,37.264078,27.398097
BDR28,37.283089,27.358189
BDR31,37.300939,27.404314
BDR35,37.266208,27.597892
BELGI,40.5,25.883333
BELSU,39.130833,34.286389
BENEM,36.183333,29.316667
BERGO,38.998889,27.132778
BERNE,40.468056,42.793056
BEYAZ,38.505,42.788056
BONAM,38.048889,44.299722
BOYAT,37.120833,37.243333
BRONZ,37.269722,30.349444
BUDAK,39.913056,39.572778
BUK07,40.188489,33.058289
BUK17,40.191075,33.055097
BULUT,38.756111,38.902222
BUMOM,38.014444,33.229722
CENGO,37.065556,28.091111
CHRLE,37.163464,35.700039
CIG05,38.578325,27.007233
CIG06,38.587081,26.959264
CIG08,38.628369,27.006164
CIG10,38.344875,27.10175
CIG12,38.695094,27.004736
CIG15,38.745136,27.003664
CIG18,38.795178,27.002589
CIG20,38.828539,27.001872
CIG21,38.674869,26.897222
CIG22,38.802036,26.842686
CIG29,38.541628,27.008017
CIG46,38.659236,26.972214
CIG49,38.826117,26.957331
