IDENT,LATITUDE,LONGITUDE
ANKAR,13.436389,-60.298889
BUTUX,18.0,-45.38
DABAK,18.0,-51.325
DANOT,11.496944,-60.6
DEBOS,11.77925,-62.240139
DUNTA,15.608889,-62.193056
EGIBO,17.0,-50.0
ELOPO,17.65,-62.554444
EMOLA,15.135278,-61.646389
IMORO,11.514722,-61.66
IRAXI,13.0,-45.0
KAISO,8.919722,-58.507222
KAPUK,11.014444,-61.531944
KELSO,12.217222,-58.721667
LIDEL,9.983333,-61.006389
LIMBO,14.205556,-61.618333
LOGAN,12.138333,-60.142778
MODAT,10.104167,-60.934167
PAKER,15.333333,-40.0
PELMA,14.133056,-63.639444
PERGA,11.798333,-62.2
PERRY,13.243333,-63.087222
R1535,10.595328,-61.351858
RAGUN,10.886667,-61.646111
SOMON,14.154167,-61.6975
TASAR,15.667778,-60.954444
TIKAL,17.473056,-62.833333
TODIS,11.636667,-43.268333
TRAPP,9.084722,-55.991389
TULEX,15.325278,-62.473333
VUDAL,12.453611,-63.407222
