IDENT,LATITUDE,LONGITUDE
AISAR,25.947472,122.493222
ANDRE,214428.0,1195932.0
ANGUS,254103.0,1230000.0
ANLOT,235426.0,1202913.0
ANNNA,25.571806,122.022167
ANPOG,22.604167,117.954444
ARLEN,225008.0,1202157.0
AROMA,26.721722,122.855611
BAKER,25.643292,121.879908
BERBA,270441.0,1230000.0
BESTO,26.13825,122.258528
BORDO,260100.0,1240000.0
BULAN,270530.0,1240000.0
BUSBY,22.061667,120.958333
BYWAY,26.026058,121.995169
CAROL,254144.0,1212918.0
COMBO,221542.0,1180803.0
COPRA,25.725572,121.879908
CYRUS,221257.0,1183154.0
DADON,221635.0,1180010.0
DALIN,233543.0,1202224.0
DEFOE,254645.0,1203355.0
DRAKE,25.615561,122.077947
DUBAN,27.938333,123.694167
DUMAS,260659.0,1204147.0
EMRET,28.002222,123.694167
EPOXY,27.155669,122.878322
EXTRA,222401.0,1181255.0
FITCH,26.684167,122.6875
GENIE,260402.0,1212750.0
GRACE,25.105986,122.289689
HAPPY,260103.0,1201109.0
HIPPO,26.143889,120.234444
HOTEL,23.683639,119.502111
IGURU,235700.0,1240000.0
INDIA,240559.0,1185130.0
IONIC,22.035833,121.007778
JICHI,232437.0,1214321.0
KADLO,22.955056,118.541722
KIKIT,25.882175,123.592197
KROSA,22.078889,119.665
KUDOS,250753.0,1215928.0
LEKOS,253027.0,1222850.0
LOTTO,25.100789,122.344467
MENON,224816.0,1200917.0
MOLKA,263931.0,1240000.0
MORSU,255420.0,1230000.0
OLIVE,27.438056,122.851667
OSTAR,261954.0,1230000.0
PABSO,25.639111,122.866028
PARPA,220156.0,1200211.0
PARTO,250212.0,1230000.0
PILOX,242454.0,1210129.0
POLAR,26.682417,123.676889
POLKA,24.659403,122.013892
QUOTA,220947.0,1185837.0
RECON,212359.0,1182412.0
RENOT,223406.0,1183044.0
ROBIN,252509.0,1221228.0
SALMI,281854.0,1240000.0
SANAS,245349.0,1214132.0
SANDY,24.28245,118.573189
SEDKU,245600.0,1240000.0
SULEM,27.438889,122.421944
SWORD,240009.0,1200539.0
TACLE,225938.0,1213513.0
TINHO,242109.0,1220143.0
TITUS,234942.0,1215106.0
TONGA,23.177403,119.5911
TONNY,252450.0,1210836.0
TOROX,232114.0,1195429.0
TULTO,231922.0,1230000.0
TUNNY,222154.0,1211311.0
VIOLA,27.221389,122.941111
WADER,243023.0,1215605.0
WAGON,233517.0,1214626.0
ELATO,222000.0,1173000.0
ENVAR,215930.0,1173000.0
KABAM,210000.0,1195248.0
KAPLI,211000.0,1173000.0
POTIB,210000.0,1204530.0
