IDENT,LATITUDE,LONGITUDE
ALTIN,-1.002656,31.249528
APDOT,-1.537053,34.567111
APKOL,-9.487747,33.312089
APNOL,-4.324008,34.891336
AVATU,-3.034422,35.426578
AVETA,-3.680478,36.054372
AVITA,-6.0311,37.754969
BONAP,-11.635278,37.657519
BOTEN,-8.481714,38.682775
DARAS,-7.933147,40.503928
DASTA,-8.717797,41.492842
DV002,-6.865386,39.216814
DV009,-7.027478,39.098978
DV010,-7.004969,39.072139
DV011,-7.004739,39.071919
DV013,-6.776489,39.379392
DV015,-6.783069,39.383194
DV039,-6.932881,39.14585
DV070,-6.807214,39.277072
EGLOX,-1.856469,34.995456
ELAVA,-5.106733,40.422533
EPMAB,-8.588611,35.140556
EPTAN,-2.798619,36.260147
ETIVO,-5.857753,37.8739
ETMOV,-3.195881,36.1144
EVATO,-2.33585,36.450822
GEREN,-5.064797,38.461097
HTSY,-3.602408,33.50075
IBGEN,-2.489522,32.721939
IBKOB,-3.191472,36.095597
IBMAR,-2.735919,32.749572
IBROP,-9.321389,33.353611
IMLAK,-2.568075,35.950478
ITBEX,-9.270278,33.478889
ITBOS,-1.72565,32.636508
ITGOP,-6.171364,38.488878
ITLAN,-7.541667,37.65
ITMEN,-3.553083,35.930481
ITNOV,-5.372522,35.844692
ITOBO,-5.0445,33.009075
ITROM,-2.399386,32.711853
ITSEV,-5.052272,36.3022
ITSOK,-4.48235,35.955758
KASIM,-8.22035,38.17915
KINAN,-10.742892,42.435647
KISIR,-8.174794,40.266978
KOBEL,-9.417458,41.310894
LOSIN,-3.133303,36.12215
LUDOL,-3.816019,37.961361
LUGAP,-5.693631,38.019975
MANDA,-10.560153,34.636014
NAGON,-8.497822,39.652242
NESOX,-5.503067,35.038561
NEXAD,-4.165883,31.917728
NIBOT,-2.014233,34.437386
NIDED,-4.82065,40.618925
NIDEL,-8.972778,34.207222
NIDEX,-4.252372,35.61075
ODGAT,-7.947042,37.895256
OKBEN,-4.611203,35.446903
OKDAS,-5.172819,35.190231
OKMAS,-5.661383,35.844692
OKSIS,-1.590661,34.027653
OKSOT,-1.429286,33.872372
PARIN,-1.754533,35.356575
R0022,-6.88285,39.197861
SINGI,-5.783903,34.909622
UDMAM,-3.702403,30.41735
USUBU,-4.4815,32.945739
UTINA,-11.168433,34.489067
UVKAT,-9.312761,34.959631
UVORA,-7.432583,30.002064
