IDENT,LATITUDE,LONGITUDE
ABDAK,47.299167,35.2925
ABOLA,47.982222,38.416111
ABRAD,50.601667,26.146667
ABRAN,43.617222,33.122222
ABRIS,47.16,30.6675
ABROK,51.593333,29.033333
ABSIN,45.9,33.75
ABSON,49.630556,23.756111
ABUGA,49.675,36.83
ADINA,43.803333,30.505
AKONA,47.971667,34.136667
AKULO,48.688333,32.741944
ALUMO,50.545,29.638333
AMGOL,46.073333,31.435
AMPUL,48.730556,38.766667
ARBAD,43.99,33.476667
ARNAD,45.35,36.646667
BABIN,44.425,31.0
BABIS,49.998333,26.358056
BABKU,49.611667,28.783333
BAGRI,45.186667,29.803333
BAGSA,49.261944,26.000833
BALED,45.441667,32.341667
BAMUD,47.908889,24.209722
BANID,46.555278,31.541111
BANUR,43.683333,30.966667
BASOR,50.051944,30.833333
BEBRO,49.355,34.518333
BEDAN,45.683333,35.8
BEKAP,47.616667,31.75
BEMBI,50.074722,29.933056
BEMOT,46.066667,34.633333
BERTU,45.81,32.236667
BETEG,45.183333,36.383333
BIRMA,44.98,30.561667
BOGMA,47.955,31.598333
BOLRU,50.030278,24.143611
BOMKI,44.535,32.03
BORAT,51.466667,29.588333
BRP08,50.456944,30.896389
BRP09,50.455,30.8963
BRP10,50.451981,30.917436
BRP11,50.453642,30.917594
BRP21,50.27095,30.875556
BRP22,50.271461,30.875544
BUDUK,50.041667,28.962222
BUKOV,47.951667,25.958333
BULAN,47.1,30.761667
BULIG,47.966667,36.216667
BUNAG,46.066667,30.433333
BUPOS,46.903889,34.861944
BURUD,44.57,34.64
DEKAD,48.95,33.366667
DELOL,48.136667,38.424167
DEMER,49.54,31.613611
DESEL,44.435833,32.659167
DIBED,49.888333,23.058333
DIDKI,47.542778,34.242778
DIDUR,50.01,26.036667
DIGAM,45.258333,31.111667
DIPAS,43.720833,34.239444
DOKEN,48.95,35.066667
DOLOT,43.701667,33.47
DORER,50.465833,27.207778
DOTEL,47.920556,33.578611
EDIMI,49.715556,31.760833
EDUGO,49.333333,38.75
EKTIN,48.533333,32.283333
ELBAM,46.911111,36.845556
ELMUS,45.716667,28.841667
ERKAD,48.2,33.566667
ETUKI,50.231667,35.618333
ETUNO,44.204167,34.067778
FASAD,47.555,38.313333
FORMA,50.355,35.698333
GAMLA,49.27,30.422778
GANRA,48.445278,37.186944
GELBO,48.282778,37.129722
GENKU,51.45,26.133333
GOBLI,48.088056,30.661667
GODOD,48.357778,32.673056
GONED,47.9,39.0
GONUS,46.675,32.508333
GOROS,49.456667,29.758333
GOTRA,48.913333,25.598333
IBROK,44.206667,32.255
IDSAR,45.391667,28.801667
ILTUK,49.12,25.501667
INBAK,44.372222,34.347222
IPRUS,46.547222,35.026944
IRBOL,51.517778,32.508611
ITSUL,48.533056,37.819167
KEDUB,50.401667,30.451667
KEKEB,47.702222,38.150278
KEMUN,49.135,23.243333
KERTA,46.97,36.005
KESAM,47.766667,32.833333
KOKUM,49.818611,30.921944
KOKUP,49.528333,23.655
KOLIG,44.118333,34.521667
KONIP,49.745,31.443333
KORAD,51.443333,31.6
KOREG,47.083333,32.941667
KOROP,49.15,27.845
KOSAK,46.316667,31.533333
KOSIR,48.226667,36.328333
KOSNA,48.448333,31.433333
KRINA,48.366667,34.466667
KUBIR,47.366667,36.65
KUBOK,50.316667,36.828333
KUBUL,49.114444,35.663333
KULEM,43.933333,35.518333
KUPIL,43.912778,33.548333
KUROR,48.191667,32.966667
KUROS,50.748333,31.796667
KUSAK,49.345,24.501667
KUSAL,43.98,35.971667
LABOD,49.297778,30.324167
LADIK,49.35,35.096667
LAGIR,43.293333,32.315
LAGUP,49.677778,24.7925
LAMEX,48.165,30.088333
LAMIS,48.149722,37.058611
LAROM,44.31,31.443333
LASOR,44.038333,34.966667
LEMTO,45.490556,33.541667
LENKA,45.363333,35.788333
LIDNO,48.726944,29.946944
LIPSO,48.9,37.883333
LOKSO,50.345278,33.955556
LOPNU,49.074167,26.681389
LORDU,48.524444,32.601389
LOVIK,52.083333,31.016667
LUGAT,48.418333,39.375
LUMAT,50.85,35.433333
LUNAT,44.293333,33.52
LURIK,48.26,25.981667
LUSIG,49.136667,37.953333
LUTIK,50.703333,30.395
MAKAK,48.028056,37.054722
MAPUR,49.286389,25.583333
MAPUT,43.566667,34.396667
MASOL,50.075,38.226667
MEBAM,46.583333,36.7
MIMKO,49.040833,31.209444
MIPLO,45.596667,29.286667
MOGRI,50.828333,34.216667
MOKAD,46.776667,31.35
NALAD,49.388333,26.451667
NALEG,50.313333,36.485
NALEM,47.95,39.808333
NANIR,50.833333,30.261667
NEROB,45.699167,34.190278
NESLO,48.876944,37.374722
NEVKA,44.1575,32.476389
NIKAD,48.996111,35.921944
NIKIG,49.416667,31.996667
NISUT,44.301667,33.693611
NITOK,46.125,32.908333
NOGRO,48.383333,32.65
NOLDU,48.064722,29.687778
NOMPA,45.595556,33.237778
NOMPI,49.4525,24.0
OBENO,48.608333,22.643056
OBULI,48.398611,37.256944
ODELA,46.209444,35.371111
OGLAR,46.015,30.53
OKROT,50.706944,27.348889
OKSAR,50.083056,34.633889
ORTUL,50.985278,25.003889
OSLAN,48.471389,32.984444
OTPOL,45.456389,31.510278
OTRAD,45.881944,32.387222
PALER,45.153333,36.545
PALTA,49.57,34.395
PEKIT,49.313333,33.616667
PEMES,47.619444,37.607222
PEMIR,49.282222,25.555
PENAK,48.88,36.523333
PERED,45.927778,30.863056
PEREG,48.783333,24.233333
PERUN,44.815,31.838333
PESED,43.927778,31.7725
PESON,47.058333,31.921667
PETRA,48.3,38.883333
PEVAT,43.901944,35.2175
PEVUK,49.361667,26.935
PIDIT,43.794444,34.251667
PIGUM,49.264722,24.011667
PISOK,50.68,29.666667
PODOL,47.81,36.283333
POGER,49.55,29.183333
POGOD,45.743333,32.096667
RABEN,48.085,30.898333
RALOS,49.15,35.6
RANOM,50.316667,27.816667
RAPUL,46.611111,32.004444
RASIL,45.41,31.416667
RATNO,46.173333,30.196389
REBKO,43.243056,34.161944
REMPO,45.568611,35.093611
RENAT,44.036667,36.558333
RENBA,44.635,34.023333
REPLI,48.118333,32.888333
RIMDA,47.628333,31.846667
RIMOS,48.758333,25.98
RITED,46.733333,32.884722
RODIM,45.683333,33.15
ROLIP,47.453056,34.782222
ROLKA,50.404167,23.825556
ROMOK,43.473333,31.728333
ROPUT,43.833333,32.501667
ROSMU,45.956389,35.378889
RUBES,47.866667,35.316667
RUBOS,49.194167,30.684722
RUSUS,44.781944,33.5925
SIRSI,48.457222,22.827222
SISPI,48.206389,38.401944
SITBA,49.390833,27.846944
SOBLO,43.25,36.383333
SODRA,49.108333,36.833333
SOGTA,45.644444,34.718056
SOLNU,49.296667,25.398333
SOMON,47.37,35.991667
SOMUK,43.778333,34.111667
SORIK,51.46,28.745
SORNA,51.146667,31.221667
SOROK,44.105,32.71
SORON,49.761667,27.85
SOTAM,44.593333,32.933333
SUDON,46.622778,32.034444
SUGUL,43.118333,32.971667
SULUM,49.557778,30.6925
SUMKA,50.853333,34.76
TADID,47.594444,33.923056
TADUN,51.901667,24.69
TAGAN,48.65,36.441667
TAKET,48.97,27.841667
TAKON,48.536667,23.188333
TALAM,44.086389,30.438611
TALOB,50.505833,34.041389
TAMAK,47.856667,39.218333
TARAS,47.518333,36.251667
TARKA,45.865,31.1
TAVRU,45.975,28.865
TERNO,49.525,25.7
TERPI,48.133333,33.55
TETNA,49.833333,26.416667
TIMOS,49.650556,31.706944
TINAL,45.32,32.936667
TIRAS,52.35,33.31
TISOM,43.741667,36.491667
TITAG,45.766667,33.5
TOKMU,47.246667,35.79
TOKSA,47.698333,33.261667
