IDENT,LATITUDE,LONGITUDE
AAALL,42.120189,-71.141761
AAAME,37.770908,-122.082811
AAARN,34.281497,-85.268172
AAAXX,29.895706,-95.392472
AABEE,34.068056,-84.214364
AABER,26.072778,-81.33
AABEZ,44.788083,-93.004711
AACES,35.272086,-97.144439
AACEZ,34.552778,-73.996667
AADEN,31.541133,-82.928531
AADIE,39.887092,-86.492333
AADMS,42.585425,-71.318925
AADPO,-14.168761,-170.967533
AAERO,39.599369,-106.979447
AAGEE,40.027142,-104.778261
AAHZZ,29.730928,-95.931664
AAIRE,35.146269,-81.062314
AAJAY,38.932344,-84.539631
AAKAY,33.634172,-84.7933
AALEX,33.053547,-80.340769
AAMMM,36.173861,-114.865497
AAMYY,51.505222,171.15325
AANAH,44.428156,-93.322008
AANDD,34.411947,-97.144939
AANDY,41.819733,-96.059117
AANET,38.530769,-122.497194
AANNN,37.596389,-77.226881
AANTS,38.718656,-78.462647
AARBY,38.816603,-90.673756
AARCH,39.093611,-89.1625
AARCI,33.577131,-117.044722
AAREN,36.511025,-78.957847
AARES,20.998611,-157.095
AARGH,34.893069,-99.907731
AARIN,39.920278,-86.221111
AARON,43.400386,-122.700992
AARTA,34.605914,-87.273542
AARUN,33.734819,-66.261808
AASEN,45.829897,-122.611903
AASON,40.8617,-115.612661
AASPN,34.268203,-117.032656
AASUN,44.907678,-93.255044
AATAT,33.167208,-83.437203
AATRE,21.219736,-157.921919
AAVVA,37.607461,-77.396394
AAYJY,33.685547,-118.172375
AAYRR,46.646819,-123.722389
ABRAQ,40.348136,-86.107803
ABSAW,44.208886,-93.841858
ACABE,36.293728,-82.324119
ACACE,44.632036,-96.042003
ACACO,41.899622,-111.841678
ACADI,29.956311,-91.863172
ACADO,32.667631,-97.606081
ACAFO,42.750969,-75.512481
ACAGI,40.432278,-106.842733
ACAGO,39.621206,-111.869661
ACAGU,36.816206,-103.195264
ACAKO,47.247903,-104.959972
ACALE,35.608761,-90.113333
ACANO,46.255314,-84.630142
ACANY,40.671161,-98.744292
ACAPE,46.001317,-110.706744
ACAPO,41.442689,-81.805794
ACAPU,30.735886,-81.664967
ACARI,40.769414,-80.139344
ACASU,37.136661,-80.235531
ACATE,59.714147,-162.552694
ACATI,43.724183,-83.795928
ACAVA,38.047844,-103.616625
ACAVU,41.847889,-79.554542
ACAYO,42.2008,-96.981769
ACAZE,44.887581,-91.521878
ACCOM,37.571325,-75.8013
ACCOW,44.707394,-71.200806
ACCRA,41.933333,-88.019444
ACDIV,37.675578,-89.937617
ACEBE,44.664697,-89.263758
ACEBO,48.674189,-95.632347
ACECI,30.011306,-95.804994
ACEDI,36.920639,-88.939406
ACEHO,41.853369,-102.69515
ACEHY,41.105325,-87.082086
ACEJU,29.594878,-82.914981
ACEKO,39.020489,-120.516708
ACELA,41.438858,-72.780853
ACELI,35.423022,-108.091247
ACELO,39.374478,-78.286936
ACEMI,42.114586,-90.198808
ACENE,30.534378,-81.621306
ACEPA,36.892106,-113.593533
ACERA,33.866608,-84.193239
ACERB,35.098956,-81.128606
ACERI,38.048419,-103.401239
ACERO,36.363525,-103.212189
ACERT,35.984325,-96.132897
ACESI,37.427178,-97.418231
ACETE,40.263911,-80.590583
ACETI,30.112544,-81.873025
ACETO,38.142803,-85.007242
ACETY,36.934192,-121.515864
ACEYE,60.574292,-151.389822
ACFIJ,43.213144,-113.083522
ACGET,29.867994,-98.090297
ACHAV,29.482517,-83.060369
ACHES,37.435883,-105.433556
ACHLE,38.542103,-82.628553
ACHOZ,37.301667,-122.041533
ACIBE,40.846681,-85.546619
ACIDU,42.761283,-88.626117
ACIDY,43.050217,-75.953697
ACIGE,60.439806,-151.7689
ACIGO,38.239611,-89.699
ACIKI,39.683736,-79.924486
ACILI,37.461833,-77.444081
ACILU,43.869244,-94.570369
ACINS,33.933878,-117.162119
ACIPO,40.537175,-111.978558
ACIPU,27.441131,-82.607522
ACIRA,41.942939,-83.573833
ACIRI,67.812014,-164.750333
ACISA,40.839397,-85.392042
ACITO,41.398611,-88.183333
ACITU,44.439139,-105.564794
ACIVE,60.566556,-161.942983
ACIVU,28.925978,-95.586842
ACIWA,37.092808,-90.315128
ACIWY,38.163128,-89.188972
ACIYO,36.406219,-121.405847
ACIYU,39.826411,-85.817333
ACKEE,35.184433,-87.834233
ACKEG,42.436994,-96.973592
ACKEX,41.523017,-73.986742
ACKLE,28.924742,-95.461839
ACKLY,41.109406,-91.877169
ACKME,33.847567,-97.677853
ACKNE,36.411125,-85.005081
ACKOP,43.643667,-93.958719
ACLAC,35.126886,-81.199594
ACLAM,36.075092,-114.522586
ACLIK,42.530483,-95.455694
ACLIM,39.710894,-75.015983
ACLOB,42.239656,-122.283831
ACMEE,22.174378,-75.056381
ACMES,30.924203,-88.369672
ACMIE,34.948936,-106.674889
ACMOD,28.369967,-80.77695
ACMOF,28.884947,-81.892628
ACOBI,38.923236,-78.233444
ACOCO,43.794108,-91.233206
ACOCU,40.113692,-76.281711
ACODI,36.741631,-108.217078
ACOKO,36.344214,-97.08875
ACOLA,29.459883,-95.505117
ACOMA,34.887706,-107.421822
ACONI,43.480628,-123.330786
ACONY,18.927367,-66.477447
ACORD,48.790808,-122.532958
ACORE,38.521064,-90.058253
ACORI,31.773156,-85.858197
ACORN,31.922922,-95.296817
ACORO,34.575897,-79.469861
ACOSA,38.608353,-79.054892
ACOSI,37.118708,-111.534608
ACOTI,40.674961,-86.052492
ACOTO,35.835731,-76.745633
ACOTY,44.404308,-123.307958
ACOVE,42.234783,-74.031831
ACOVO,33.340789,-88.845839
ACOVY,39.861517,-119.992061
ACPAP,43.187133,-91.790661
ACRAM,42.044311,-73.721819
ACRAN,61.072383,-156.490892
ACRAT,34.2172,-118.978531
ACRDI,35.194906,-97.588764
ACREW,25.910169,-97.662592
ACRON,13.623753,143.031142
ACROR,44.879719,-71.635172
ACROW,38.064425,-77.174717
ACRUZ,24.0,-84.578189
ACSIN,35.877842,-114.564786
ACTED,32.557222,-99.021394
ACTIP,39.233831,-94.735136
ACTOR,39.755758,-104.523111
ACTRA,39.957472,-84.128708
ACUBO,37.835617,-97.353958
ACUDI,34.665247,-98.063769
ACUDU,66.870994,-162.386406
ACUFF,32.181506,-96.610842
ACUGI,34.278103,-97.957022
ACUNO,36.856378,-76.236742
ACUSA,40.007344,-77.593297
ACUSE,38.1232,-97.502983
ACUTI,38.525111,-122.817878
ACVEK,30.583031,-97.685275
ACVOL,44.6131,-123.272303
ACWEW,46.193333,-119.0156
ACXIY,39.858114,-88.04555
ACYIJ,62.241247,-145.4835
ACYOG,44.546889,-69.215244
ACZES,38.326356,-104.889378
ACZUP,32.128114,-88.792767
ADAAY,35.794817,-86.235083
ADABE,9.596925,138.247308
ADABN,37.821208,-87.539725
ADABY,35.475994,-108.872614
ADACO,39.027547,-76.773592
ADAFE,39.652897,-123.346586
ADAIR,36.465039,-95.232136
ADALE,42.853011,-86.010992
ADAME,41.969139,-87.652361
ADAMM,34.017047,-117.816817
ADANE,38.915906,-104.399017
ADAXE,38.900725,-77.068117
ADAXY,32.377425,-97.554519
ADAYI,13.572472,144.970844
ADBAW,39.596536,-123.435553
ADCOJ,42.131117,-92.268614
ADCOK,39.221206,-76.694878
ADCOM,33.732703,-80.920703
ADDAX,29.981117,-83.998308
ADDDA,42.605625,-70.782072
ADDDY,41.889419,-86.275061
ADDEK,38.672686,-77.407478
ADDEL,36.326675,-116.070183
ADDEY,40.867347,-98.314756
ADDIC,41.930253,-83.907972
ADDIL,28.401917,-99.682683
ADDIS,32.802022,-96.763867
ADDLE,42.994375,-94.276597
ADDLY,35.359542,-79.233208
ADDMM,37.771028,-121.708586
ADDMO,34.233011,-96.932289
ADDPO,7.886111,132.090278
ADDUM,45.531628,-122.458753
ADDVL,33.371758,-96.361231
ADECI,40.841714,-86.055936
ADECY,17.938333,-66.530797
ADEDE,13.441392,144.702003
ADEDY,43.051406,-99.294819
ADEEL,35.976369,-78.758872
ADEEN,32.725392,-86.330119
ADEER,37.970994,-101.073611
ADEIN,36.249747,-82.783031
ADEKE,39.056492,-96.760697
ADELA,38.714914,-97.236147
ADELE,43.180753,-87.854711
ADELL,41.249722,-88.25
ADELY,40.866672,-91.370336
ADEME,43.755592,-93.33045
ADEMR,32.862319,-65.164881
ADEMS,32.45375,-96.748958
ADENA,34.732992,-81.542819
ADENO,45.030644,-85.220425
ADEPT,34.706944,-80.155833
ADERR,30.268514,-81.43235
ADERY,32.947997,-80.123275
ADESE,44.444125,-103.432767
ADETE,34.901869,-85.325475
ADEWU,40.219536,-103.324075
ADEXE,43.504664,-116.448256
ADEYO,42.9614,-89.4321
ADGAY,25.869156,-80.214994
ADIBE,39.103067,-110.730631
ADICA,39.281458,-98.122372
ADIER,47.027683,-93.443064
ADIFO,44.092364,-68.539417
ADIKE,41.74835,-90.253403
ADIME,41.95635,-86.214308
ADINE,37.650444,-80.598069
ADING,29.730594,-95.368406
ADINY,39.247814,-106.880611
ADIOS,38.456981,-78.702947
ADIPY,32.022356,-101.626858
ADIRE,34.913208,-116.542886
ADISN,4.023889,-175.3525
ADIUM,40.422917,-74.795669
ADIVE,32.047572,-90.958244
ADIXE,35.257264,-96.416769
ADIYI,42.128539,-86.549017
ADJAX,41.623092,-73.680294
ADKAW,36.29155,-80.360344
ADKEW,34.694867,-84.488844
ADKOQ,26.272178,-79.531006
ADKUH,59.556247,-139.753
ADLEC,28.460022,-178.002597
ADLEN,64.773042,-169.781664
ADLER,40.725047,-89.805131
ADLIW,28.952983,-99.013089
ADLMN,41.982211,-88.511819
ADLOW,44.757572,-123.199322
ADMIF,38.030211,-120.625639
ADMIH,39.475953,-123.805611
ADMIT,34.686761,-85.532172
ADMRL,58.185947,-134.656131
ADNOY,35.924842,-85.194236
ADNUC,39.651194,-106.85355
ADOBE,34.6649,-99.5657
ADOFO,35.077556,-88.231594
ADOJA,45.971225,-121.360278
ADOKE,36.441036,-93.133144
ADOKY,32.161081,-88.229761
ADOLE,42.646136,-73.846625
ADOMS,32.715678,-80.510075
ADONY,32.524556,-85.436111
ADOOR,29.400075,-78.555694
ADOPE,28.513889,-148.825
ADORE,33.907861,-118.491136
ADORY,33.454853,-102.375819
ADOSE,42.359717,-89.365708
ADOTE,26.076614,-80.109247
ADOWA,13.707222,-165.826389
