IDENT,LATITUDE,LONGITUDE
AMISO,-33.848056,-56.610278
ANPON,-32.621667,-57.473889
ARAPE,-31.016667,-57.370278
AROMO,-33.500556,-55.045556
ASIVA,-33.840556,-56.343333
BERTA,-34.700556,-56.648889
BISOK,-32.879444,-56.678056
BOLAT,-33.663611,-54.010833
CARME,-33.123889,-55.968056
CUARA,-30.369722,-56.449722
DAGUS,-35.038056,-56.123611
DALGO,-32.554444,-55.503611
DARKA,-35.299444,-56.250556
DAYMA,-31.787222,-57.087222
DRACA,-34.423333,-56.374167
GAMOT,-30.9445,-55.493667
GORIO,-33.129722,-57.0275
GUTIL,-31.218056,-56.828333
ISALA,-31.676111,-54.446389
KADUS,-32.744167,-56.729167
LITOS,-34.458889,-54.726111
LOMID,-33.885556,-56.329167
LOMUX,-34.383889,-56.293611
LORES,-32.966111,-57.121667
LUCIO,-35.055,-55.871667
MASOL,-31.118333,-56.19
MEVIV,-31.310833,-57.262778
MOLBI,-34.347222,-55.505
MONSA,-34.348889,-56.181389
MUMET,-33.010556,-56.064722
NEGIR,-33.681667,-56.950556
NEMAS,-34.584167,-57.186389
NIMBO,-34.513611,-56.492222
OGMAR,-33.293056,-54.148889
OPSOS,-32.405,-56.856944
ORUTA,-34.01595,-55.017536
PABOT,-34.26,-56.859444
PALOL,-32.87,-57.590556
PAPIX,-34.416111,-58.000556
PONPA,-33.940278,-57.316389
RAMON,-34.332222,-56.008056
RANDE,-33.658611,-57.014444
RIONE,-33.058333,-56.975
SANDI,-33.615,-55.984167
SANDU,-32.201111,-57.556389
SOLIS,-34.349167,-55.424722
TELAK,-34.342778,-55.660556
TIGRE,-34.781389,-56.715556
TOPEB,-31.301667,-57.266389
TORON,-33.525278,-57.901667
UGURA,-32.604722,-53.340833
