IDENT,LATITUDE,LONGITUDE
ABANI,41.213342,64.909039
ABDOK,41.288392,71.137514
ABEVO,40.833361,68.577461
ABIMU,41.815014,63.874008
AKMAZ,39.308314,66.822442
ALABU,39.488314,66.365764
AMUPA,41.206706,68.829128
ASLOK,41.096692,67.330764
ASMAN,40.426636,62.197328
BABIR,42.078342,62.627311
BAKMO,40.446706,71.267528
BALSO,42.409994,60.258922
BETRO,41.395003,63.93235
BIBED,40.146658,65.907411
BIBON,38.999978,67.449125
BOLTA,40.063325,66.129083
BUPOR,39.774972,64.482386
CHARD,39.258289,63.822378
DAKLI,40.251664,66.324086
DIDIR,42.04165,60.135592
DIDOP,43.661717,63.507303
DIDRA,44.725044,60.422217
DIKIN,38.939975,67.257456
DIKMI,41.078344,65.604058
DIKNA,41.643325,61.748964
DIKRI,40.833386,71.930872
DILRO,40.408358,69.275817
DIMAX,40.531661,64.910717
EDOSU,39.815,67.622453
EKLER,40.680047,71.687536
EKMOS,42.638319,58.875556
ESURA,42.378333,63.0
EVMUR,40.409986,64.455708
EVTEV,41.861661,61.748961
FDNB,41.265044,69.344139
GIGMA,43.081683,61.043925
GIKOD,40.870042,70.339167
GIMLA,40.893317,62.947336
GOBUL,42.168333,63.0
IDSAN,40.371675,67.290772
INSOM,40.009983,64.960725
INVOR,38.068286,66.970792
IPNAR,42.743322,59.095558
IRBIN,39.236647,67.000781
IRGUL,41.138394,72.089208
ITVIR,40.958386,71.200853
IVLUS,41.189978,61.5223
KEGIB,40.350031,70.419178
KEKAD,37.619947,67.517478
KEKUR,39.126647,67.250786
KEMAB,40.188308,63.647361
KERIV,41.081658,63.295675
KOLIX,40.790047,71.252525
KORAG,43.859983,55.998808
KORUR,40.03,64.868333
KUKSA,41.231683,65.672389
KULAN,40.123331,66.459089
KULIL,40.124997,66.464089
KUNAS,43.156633,55.998822
KURAB,44.386711,61.060569
LANOL,41.193372,68.917464
LAVMI,38.106622,67.095797
LEMPI,41.961683,63.865672
LISNI,42.021667,63.0
LOMKU,39.969986,65.662408
LONDO,40.246675,67.540778
LUPIK,39.426647,66.5241
LURIB,40.698311,62.585664
MADOB,40.711706,70.364172
MAKIX,42.099992,60.787272
MAMAL,41.130011,65.340717
MAXUT,40.255006,67.200772
MIKDI,40.493378,71.890875
MISRA,42.989997,59.388892
MOROV,41.275008,64.5807
NABAT,40.705011,66.610753
NAKUK,42.488322,59.622239
NELEB,38.799969,66.809114
NEPAN,38.784967,66.762447
NEPNU,40.676711,71.285861
NESVA,42.043328,61.337283
NETAK,42.893333,59.920572
NIMBA,41.165011,65.157381
NOGTA,41.573397,71.082511
NOLGU,41.156706,68.969133
OGLON,42.678331,60.072247
OGODA,40.655053,72.579225
OGSES,41.14665,62.125647
OKBAB,37.983289,67.589142
OKDOR,38.574967,67.227461
OKSEN,40.933378,70.345833
OKSUV,39.916653,65.837411
OLIKA,39.313333,65.893333
OLPIS,41.381653,61.748969
OSBOR,41.015033,68.515792
PABDI,39.113333,65.658333
PEPEL,39.578325,67.484119
PESEN,40.983378,70.385836
PETAB,38.701619,65.022411
PETIT,40.556664,65.255725
POGON,39.843292,62.747347
R2539,39.701947,66.965939
R2541,41.256114,69.260094
R2542,41.260667,69.301425
R2543,41.254242,69.260458
R2547,37.290258,67.324603
RABAT,39.559983,66.184092
RATAR,38.021617,66.765789
RAVEG,40.450011,67.132433
REBNA,38.593297,66.834117
REDPO,40.231661,65.865742
REGMO,39.824964,63.264025
RINDO,40.731717,71.867539
ROBAP,40.428322,64.524042
ROBRA,38.559969,67.5308
RODKI,41.396728,70.980844
RODRO,41.243375,69.009133
RULAP,41.223375,68.9708
RUMAN,41.703333,63.0
SAGIR,40.801678,66.412414
SAIDA,41.199975,61.120625
SIPMO,42.078333,63.0
SRNB,41.185042,69.222472
SUBAB,41.153394,72.024206
SUDAR,41.480022,65.784056
TADEN,40.560011,66.909094
TAGAM,41.595025,65.837389
TAHIR,42.453364,64.224006
TARAM,43.843322,56.700489
TIGTA,43.458367,62.078942
TIMUP,38.918308,67.185789
TISIB,41.13505,70.330833
TITAR,40.130008,67.770786
TKT10,41.128372,69.144786
TKT15,40.960642,69.474892
TOBOT,38.163292,67.2808
TOLIB,39.759983,65.667411
TUDLI,39.309967,65.194072
TUKRI,40.048322,65.519069
TUSIM,41.171711,69.570814
TUTSU,40.456658,64.957386
UBAGU,43.041697,62.853967
UBENA,40.178328,66.030747
UDROD,41.328339,64.294025
UGDAK,42.050017,63.532331
UNBAS,42.118333,62.791667
UNONA,40.258322,64.907386
URASA,44.146656,55.9988
URAVI,41.308339,64.402361
UVASU,40.710025,68.217456
VADNA,39.061628,65.102408
VAGRO,45.300047,59.282181
VANAB,40.789981,62.755667
VASIM,41.259983,61.748972
ZULAT,39.233317,67.432458
ZURAB,39.934989,65.857411
ZWNB,41.250044,69.219136
