IDENT,LATITUDE,LONGITUDE
ABAPO,3.928611,-67.344167
AKNUR,10.820833,-66.218611
ALBAN,10.223333,-68.406667
ALBOG,7.875556,-64.852778
ALCOT,11.911389,-69.260278
ALDIT,12.786111,-63.747222
ALGOK,11.090278,-67.979167
ALTOS,10.3925,-67.043611
AMAYA,6.163333,-68.158333
ANGEL,10.023056,-66.268333
ASEMA,10.866667,-71.382222
ASULI,9.693889,-70.826389
ASUPO,9.470278,-69.700833
ATAMU,9.993611,-67.856667
ATIGA,10.602778,-69.705278
ATONO,10.990278,-67.483611
AVELO,11.418056,-68.010278
BAHIA,11.558056,-64.161667
BATEY,9.974444,-71.408056
BEGAB,11.025556,-66.3625
BELLO,12.023889,-67.449167
BIVAP,7.848611,-67.260278
BOBAT,9.918056,-71.808611
BODIS,9.829167,-70.961389
BOGSI,13.895833,-64.299444
BRM40,10.379167,-69.939722
BRM45,10.276111,-68.715833
BURGA,10.332222,-70.697222
CAIPE,8.568333,-70.057222
CAUCA,11.475278,-70.560833
CAURA,7.105278,-64.929722
CHALO,10.905278,-64.640556
CHAPA,8.755,-70.132778
CINAR,6.509722,-67.463056
COLON,9.924444,-66.073889
COZAL,11.338056,-69.276111
DABAM,13.378889,-64.360556
DAGOX,10.654444,-65.583056
DAKAS,10.797222,-71.251389
DALEX,9.708611,-71.838056
DALSI,10.7925,-66.343889
DANVO,10.054722,-69.330556
DAREK,11.498056,-62.806944
DARPA,10.886667,-66.925
DATOR,12.409722,-70.270278
DAVEX,8.356667,-67.371389
DIAMA,6.441389,-65.835
DOLPO,11.060833,-70.019722
DOSRA,10.898333,-65.968056
EDGEL,11.5875,-66.757222
EDMAX,13.903611,-64.9075
EDPAL,9.987222,-67.734167
EDRIN,7.561667,-69.305833
EKERI,9.750556,-71.536389
EKUNA,7.3175,-67.48
ELOYS,8.459722,-70.148611
EPANA,7.796944,-62.778611
ERICA,8.499722,-70.344722
ERIPA,10.065278,-65.669722
ERIXO,9.515278,-70.648611
ESANA,10.490833,-66.738611
ESIPO,12.498056,-71.015278
ESKIT,8.291111,-68.986389
ETALA,14.052778,-64.948333
FAROS,11.123333,-66.504167
GANAO,8.725833,-70.096389
GATUG,10.475,-67.843056
GAVAL,11.990278,-67.038889
GAVIS,10.659444,-72.216111
GEBAL,9.427222,-64.719444
GELEM,9.729444,-69.949444
GEMAP,10.078611,-65.473056
GIDOX,10.448056,-71.168611
GILGA,12.135,-71.101389
GOLFO,11.020278,-71.203056
GUADA,10.586111,-69.488056
GUAYA,8.820833,-71.435278
GUERO,10.988333,-71.982222
GUTIM,14.079722,-65.093889
HENRY,13.082778,-64.6475
ICIOM,9.371389,-69.413611
ILKIT,12.877778,-67.661944
ILMET,15.049444,-66.116667
IMBAT,10.654444,-67.8825
INOCO,3.364722,-66.643889
IRIBE,11.098889,-66.875278
IROSA,9.798056,-71.190278
ISANI,4.249722,-61.592222
ISAPO,10.730278,-64.243889
ISULA,10.336667,-65.350278
ITAMA,8.956667,-63.337778
ITEGO,13.6225,-64.127778
ITSEL,12.283056,-70.0
JENDE,9.598889,-70.445
JUANA,10.107222,-71.236667
JUREL,10.956111,-66.564167
KAKER,10.991111,-67.956667
