IDENT,LATITUDE,LONGITUDE
AGADA,18.730803,-64.340547
AQHAN,17.681517,-64.998514
COVPI,17.675681,-65.05555
COY01,17.704425,-64.782272
COY04,17.758436,-64.635464
COY25,17.719439,-64.7415
DRINK,18.507703,-65.032869
GOUDA,17.934028,-63.666667
GRUFF,17.932772,-64.733536
JANER,18.520917,-64.816569
JAQYY,18.332172,-65.09265
JEYBU,17.692592,-64.889847
KUTHO,18.328364,-65.180161
LOGVY,18.335417,-65.017328
NOMUE,18.257356,-65.070114
OSSEL,18.129258,-64.906811
PEBKY,17.706464,-64.752925
R1307,18.336872,-64.983428
R1308,17.700061,-64.816233
RENTS,18.265511,-64.778831
SEPBO,17.970219,-66.775017
SLUGO,18.389444,-63.666667
STT05,18.273647,-65.007819
TMN02,18.336014,-64.995883
