IDENT,LATITUDE,LONGITUDE
AGSAM,11.471667,112.588333
AKMON,8.215,110.218333
ALDAS,10.948333,112.205
ANINA,13.983333,107.416667
ANOKI,12.366667,113.25
ANRAN,11.361667,107.048333
ASSAD,18.341111,107.681389
BALOV,20.129722,107.708611
BAOMY,10.863333,107.338333
BASON,10.574667,106.045
BATEM,15.931389,107.765556
BAVEN,10.074722,104.595556
BIBAN,8.5,105.0
BITIS,10.266389,106.248333
BITOD,7.256667,104.118333
BOMPA,14.333333,107.4
BUNTA,16.833333,109.395
CAHEO,16.541667,107.960278
CAMPU,10.5,104.141111
CUCHI,10.897778,106.461111
DAD06,15.933886,108.217286
DAD10,15.867667,108.227367
DAD75,15.909064,108.221067
DAGAG,9.463333,108.441667
DAMEL,13.978333,111.51
DAMVO,11.108333,109.545
DAN10,16.220122,108.198228
DAN14,16.287067,108.198228
DAN17,15.770364,108.234033
DAN48,15.910814,108.289878
DJ010,15.884686,108.282389
DJ011,15.871286,108.293186
DONDA,14.703333,112.021667
DONGI,17.681389,106.595278
DONXO,11.423333,106.951667
DOXAR,12.366667,110.378333
DUDIS,7.0,106.81
ELSAS,10.136667,107.548333
ESPOB,7.0,105.555
EXOTO,15.358333,111.05
HAKAO,21.731944,106.269444
HALAN,21.035381,105.645831
HAMIN,17.129722,107.677778
HATIN,18.466944,107.048889
HUVAN,21.208333,105.111389
IPRIX,7.0,104.131667
ITBAM,16.666667,109.601667
KANGU,16.354167,108.664722
KANTA,10.392778,106.098611
KAQUA,10.678333,105.981667
KARAN,12.648889,109.156667
KONCO,17.0,107.186944
LANHI,10.400556,107.186111
LAOCI,22.486667,103.965278
LAPON,20.75,104.475
LATHA,10.138333,106.633611
LAVOS,20.434722,104.397222
LIBEO,21.212606,105.460336
LOSON,10.493333,107.075556
MAPNO,10.218333,110.335
MAREL,19.228056,106.693611
MELAS,7.088333,108.153333
MEOVA,23.115,105.31
MESOX,13.98,113.045
MIGUG,15.273333,114.0
MIMUX,11.305,111.103333
MISAN,10.503333,106.045
MONBO,14.5,113.428333
MOXON,8.825,109.355
MUGAN,12.366667,111.871667
NAKHA,21.966667,106.493333
NHATA,12.226389,109.201111
NOB01,21.209403,105.846811
NOB02,21.202661,105.868889
NOB05,21.235194,105.748928
NOB07,21.184567,105.928228
NOB10,21.161214,106.004642
NOB11,21.212928,106.013439
NOB12,21.369064,105.969881
NOB15,21.408056,106.003661
NOB19,21.10395,105.516469
NOB20,21.201422,105.868406
NOB21,21.202164,105.870561
NOB22,21.200939,105.870111
NOB25,21.144206,105.633744
NOB50,21.237017,105.749489
NOB51,21.239361,105.748397
NOB98,21.184936,106.047014
R1880,10.824831,106.663169
R1881,16.030367,108.202361
R2150,21.225272,105.792578
SAMBO,16.280278,108.707778
SAMOG,8.001667,103.24
SAPEN,11.02,106.183333
TAHUA,15.515,108.149444
TAMKY,15.595,108.495278
TANAM,8.5,104.045278
TEBAK,22.175,106.675
TONGA,21.614703,105.263531
TSN03,10.792947,106.580331
TSN04,10.793522,106.581922
TSN05,10.790017,106.563383
TSN09,10.862994,106.790656
TSN10,10.764617,106.484425
TSN11,10.898153,106.459742
TSN12,10.671967,106.83245
TSN13,10.650639,106.813139
TSN14,11.006164,106.785122
TSN15,10.674331,106.789211
TSN16,10.642383,106.428389
TSN17,10.807631,106.618175
TSN18,10.615381,106.645575
TSN19,10.836772,106.881789
TSN20,10.869075,106.876639
TSN21,10.624261,106.509575
TSN23,10.825314,106.672861
TSN24,10.699086,106.440181
TSN25,10.711664,106.462181
TSN26,10.736183,106.422833
TSN27,11.030553,106.742081
TSN29,10.911761,106.428758
TSN30,10.692611,106.805764
TSN31,10.671422,106.560936
TSN35,10.651719,106.528992
TSN36,10.581872,106.645575
TSN40,10.840428,106.708822
TSN41,10.841028,106.710406
TSN42,10.721994,106.466069
TSN51,10.671422,106.730214
TSN52,10.787314,106.812344
TSN62,10.788386,106.444208
TSN76,10.8339,106.477022
TSN80,10.8287,106.6732
TSN98,10.884219,106.818503
VEPAM,13.966667,110.0
VINHA,20.982858,105.165472
VITRA,20.588172,106.089581
XONAN,9.245,102.838333
XONUS,18.07,107.233056
ADBOP,8.5,104.083333
ANHOA,9.787222,105.908333
ARESI,13.973333,114.45
CONDA,8.957222,106.474722
DADEM,10.895556,105.228056
EGEMU,17.0,112.283333
GONLY,13.666667,107.5
IDOTA,18.693333,105.139444
IGARI,6.936667,103.585
KADIM,18.652222,106.097778
KAMSU,18.253611,106.093333
KATBO,23.36,105.291667
KISAN,10.538889,104.675
LADON,21.103611,102.966944
LAVAN,14.175,105.691667
LITAM,8.993611,106.701667
MULAD,12.548056,107.574722
NALAO,19.324167,103.926389
NITOM,12.741944,110.640278
NOBOK,20.622222,102.640556
NUMDI,10.445278,103.776389
OSOTA,10.551944,104.263611
PANDI,11.635,114.0
PAPRA,15.766667,107.183333
PHUTA,20.928333,106.463889
POPET,11.1,105.95
POTIX,10.234722,105.616667
SOSPA,11.833889,108.640833
TORED,16.463611,106.675556
TUNPO,10.062222,104.589444
VANUC,20.548611,106.721667
VILAO,17.366667,106.083333
VIMBU,10.409167,105.514444
