IDENT,LATITUDE,LONGITUDE
ALAPI,-13.761889,-172.502
AP007,-13.832428,-172.147853
AP040,-13.831486,-172.087897
AP095,-13.832967,-172.182106
AROXA,-14.295722,-172.183528
BUVAR,-14.826722,-174.116056
DAKAM,-14.727556,-174.246389
FA001,-13.830614,-172.036467
FA002,-14.043858,-172.125294
FA003,-13.831214,-172.070756
FA005,-13.833036,-172.078369
FA007,-13.834772,-172.112583
FA009,-13.836506,-172.146797
FA010,-13.641128,-171.919225
FA012,-13.835594,-172.198275
FA015,-13.837297,-172.249639
FA017,-14.064597,-172.080806
FA018,-14.096053,-172.092547
FA019,-13.788017,-172.31545
FA020,-13.987783,-172.119708
FA021,-13.985653,-172.295536
FA022,-13.924433,-172.170006
FA024,-13.887319,-172.189461
FA025,-13.830856,-172.0356
FA035,-13.998567,-172.384347
FA045,-13.867914,-172.195142
FA046,-13.885025,-172.243261
FA051,-14.017006,-172.356128
FA052,-13.836269,-172.060206
FA055,-13.846044,-172.10185
FA057,-13.848781,-172.113508
FA060,-13.833011,-172.122122
FA062,-13.873775,-172.193164
FA063,-13.883958,-172.190478
FA075,-13.833725,-172.147814
FA077,-13.857764,-172.151825
FA078,-13.879903,-172.144247
FA081,-14.111781,-172.098422
FA089,-14.017417,-172.063197
FA095,-13.834672,-172.182058
FA100,-13.872261,-171.881147
FA147,-13.907286,-171.9613
FA170,-14.029508,-171.996425
FA190,-13.634186,-171.9422
FA200,-14.000825,-172.098783
FA235,-13.897914,-172.186678
FA236,-13.900553,-172.166339
FA240,-13.899425,-172.203456
FA246,-13.862514,-172.143075
FA255,-13.837222,-172.1981
FA257,-13.833878,-172.146914
FA266,-13.804106,-172.196842
FA289,-13.668122,-172.273181
FA300,-13.964639,-172.306
FA340,-13.630267,-172.024964
FA350,-14.027289,-172.023869
FA680,-13.797161,-172.195836
FA900,-13.79145,-172.194808
FANB,-13.826486,-172.018567
GOTSO,-14.196417,-171.85125
IBOBA,-17.461028,-170.568667
IKENA,-13.574222,-172.43525
ISDOT,-15.811972,-172.8095
KETOT,-12.486972,-174.280994
LAVEK,-13.667,-171.624111
ODUMA,-14.048917,-172.455222
R1882,-13.830211,-172.022242
SAMVU,-13.340278,-171.876222
UGABO,-12.179194,-171.601278
UVUTI,-14.021083,-172.468
UXULU,-12.031778,-171.973
