IDENT,LATITUDE,LONGITUDE
ABOGH,17.346667,44.621667
AHAZM,16.208333,44.795
ALNES,18.305,48.469722
AMBOD,13.565833,48.2575
ANGAL,16.235,60.001667
ARABO,12.647778,44.066944
ASMAK,16.390833,52.776111
ASREM,15.776944,44.245278
ATAQ,14.551389,46.826111
ATBOT,17.238333,46.785
BANAR,13.101111,45.648611
BAROM,14.408889,48.759167
BIRHT,17.333333,52.016667
BORIL,13.438056,45.674722
BOSAX,14.794444,48.764722
BOTEM,13.903611,55.238333
DANAN,14.669444,49.892778
DAPAB,15.1875,55.398333
DAROV,16.110278,43.227222
DASIT,14.736667,46.491944
DATEG,12.596944,47.274167
DEKMA,15.373889,47.764722
DEKRA,12.656667,43.262222
DEMNA,15.281111,49.107222
DEPDA,14.535,43.968611
DIRAK,12.703056,44.353611
EGMIX,15.303056,50.636111
EGNOL,14.129167,44.158056
ELONA,16.964722,44.356667
EMABA,14.860556,42.328611
EMABI,14.274167,49.694167
ENADO,15.559167,53.3375
ERSAL,15.231111,42.484722
GESIX,13.744444,51.473056
GEVEL,14.208056,44.429722
GIBIT,15.813611,47.634444
GINBO,16.063611,49.671389
GOBLO,15.680556,43.430556
GOGRI,17.131111,51.149167
GOMRI,13.304444,44.54
HAZIR,17.766667,49.133333
IMDEN,16.350278,45.462222
IMKAR,15.586389,43.844167
IMPOS,18.526944,51.313333
IMSIL,15.960556,43.686667
IMTAN,16.548056,47.328611
ITELI,17.219444,50.434722
ITOLI,15.473611,45.1575
IVORA,14.728333,47.061667
IVOSO,13.292778,45.518611
KAMRN,15.363333,42.605
KANEM,17.616667,49.448611
KATAN,12.456667,44.457778
KAVAN,13.547222,51.908611
KEBER,17.078889,50.341389
KEDAV,12.931389,53.2525
KIPAM,15.008333,42.257222
KITAB,15.328333,49.522222
KORAB,12.185833,44.841111
KUSOL,14.669167,50.259444
KUTVI,18.718333,58.445
LABDO,16.811667,44.342222
LABRA,16.303611,46.853611
LADLI,13.460081,45.268125
LONIS,15.319444,46.004444
LOPAD,16.280833,45.627222
LOTEL,18.157222,51.684167
LUDOX,15.342778,43.59
MEGPA,16.004722,46.281389
MEGPO,14.715833,47.577222
MEMTA,15.056111,47.409444
MIPIN,15.102222,42.626389
MISAN,15.000278,44.089444
MIXAN,13.372778,47.4075
MIXON,16.509722,43.491944
MOGEM,13.448611,44.758056
MUTAB,15.887222,44.783333
MUTEX,15.423333,43.9125
MUTOK,16.168056,47.374444
NABAN,16.523333,43.03
NABIL,12.366667,60.001667
NABUP,15.904722,48.361944
NAGIL,15.34,43.9475
NAKAD,15.015556,50.067222
NANRI,16.131667,52.2675
NETAS,17.434167,44.401111
NIBAL,15.684106,44.220556
NISMI,16.405,42.31
NOBSU,17.265,43.221667
NODMA,15.434167,53.566389
NOPVO,13.91,44.26
NOTBO,14.435833,49.925
OBNAM,14.761389,44.746667
OBNIS,14.977778,47.8175
OBTAS,16.775833,50.965556
ODBEN,12.629722,50.946667
ORBAT,14.110556,50.656667
ORNIS,14.270833,42.615833
OTOTO,16.667778,57.076389
OVABI,16.411667,46.445
PAPOR,15.722778,46.947778
PARIM,12.528333,43.453333
PASAD,15.609444,46.120278
PASUL,18.061389,51.634167
PAVEN,14.767222,44.186667
PAXED,13.840833,49.466389
PAXUD,14.91,48.845833
PEBIX,14.746389,45.776944
PURKA,13.202222,50.511667
PURUG,15.201111,51.028333
R3111,15.490975,44.219642
RABOL,12.982222,45.688611
RAGNI,16.581667,45.804167
RAKID,15.692778,44.499722
RALMO,15.64,49.365278
RAMLO,15.175833,43.668611
RAPDO,13.388056,52.258889
RARBA,16.1725,50.655556
RASBA,14.69,48.691111
RIBOK,15.783333,41.875
RIGAM,14.658889,53.070556
SAA05,15.799497,44.252133
SAA06,15.399467,44.219611
SAA10,15.241594,44.059792
SAA13,15.282306,44.219611
SAA15,15.750939,44.219611
SAA18,15.676822,43.968042
SAA34,15.556603,44.221228
SAA35,15.7989,44.181692
SAA37,15.340086,43.956333
SAA40,16.026667,44.646667
SAA53,15.676822,44.471181
SAA59,15.80115,44.219611
SAA79,15.198619,44.219611
SABEL,18.866111,52.060833
SAHER,15.349367,44.220556
SEPRO,13.473333,47.843056
SILPA,18.831389,51.032778
SIMKO,16.305833,51.923889
SOKAT,14.768333,44.029167
SOKEM,13.709722,48.891389
SUHIL,12.0,55.0
TAMIM,13.7975,47.284167
TAVLI,15.583889,49.575
THAMD,17.283333,49.916667
TOKPU,14.856111,57.184444
TONRO,16.980556,52.376389
UKNAN,14.310833,43.483611
UKNEN,16.095,52.336667
UKORA,15.401944,50.263056
ULAXI,14.256667,48.388056
ULBIR,13.988611,43.827778
ULDIB,14.196667,48.906111
UMEBU,12.266389,45.390278
UMILI,14.769167,43.859167
XABIL,14.49,49.8025
XABIP,16.166944,44.281389
XANLO,13.948056,49.941111
