IDENT,LATITUDE,LONGITUDE
ALENI,-26.976539,32.160525
ALKAT,-33.183483,25.852064
ALTES,-25.587436,31.313339
ANTES,-36.85,10.0
ANTEV,-33.490242,22.834244
ANTIL,-28.506322,16.805569
ANVAR,-28.0025,14.562347
ANVED,-31.160964,33.109619
ANVIT,-24.666667,30.383333
APDAK,-26.550986,29.047956
APDED,-31.776792,27.208164
APDIV,-32.108292,26.851242
APDOG,-30.089703,30.003539
APDUR,-28.322125,25.386889
APGAP,-28.286519,31.329683
APGIL,-30.419022,26.316089
APKID,-28.2,0.0
APKIK,-28.330428,30.575878
APKIN,-34.083511,17.016478
APLAV,-29.124433,20.784644
APLEN,-30.760769,22.022167
APLOK,-30.344578,28.032147
APLUK,-28.870278,34.425556
APMAK,-28.480489,25.532003
APMIN,-28.010681,25.857792
APNAX,-31.196986,27.778656
APNON,-26.760517,30.781331
APRAX,-28.008797,26.418922
APREB,-32.355878,23.906467
ASONI,-29.333617,9.999147
ASPIK,-34.105089,18.133558
ATUXO,-27.993325,27.868686
AVAGO,-25.719417,27.444267
AVAVA,-26.915644,29.452808
AVEKO,-29.852442,26.309342
AVILO,-30.647292,30.389414
AVIMI,-32.155589,26.0919
AVOKA,-32.725094,26.108669
AVUBU,-28.378553,26.538333
AVUSA,-27.498639,22.225025
AXIKA,-31.233022,24.399911
AXISI,-30.842131,29.786364
AXOPA,-33.295072,19.975947
BEBAS,-27.821803,29.615192
BEKUG,-32.060381,26.365458
BOLUM,-19.334231,-5.001136
BONON,-28.375808,18.371714
BUXIR,-32.0,15.0
CTV02,-33.937411,18.593975
CTV05,-34.052447,18.617256
CTV12,-33.822792,18.768858
CTV21,-34.004053,18.903014
CTV22,-34.006017,18.610403
CTV35,-33.769311,18.592461
CTV37,-34.135361,18.580539
CTV45,-34.041803,18.629919
CTV55,-33.881197,18.574656
CTV67,-33.789075,18.813533
DABUR,-26.333772,4.999042
DNV30,-29.913356,30.731114
DURBA,-31.217447,28.770103
EGLUD,-31.725978,26.258222
EGMOG,-32.301161,26.273572
EGNOM,-30.900936,22.443125
EGPOP,-26.281658,27.510956
EGPUL,-33.242089,26.785403
EGRAP,-27.843753,14.026936
EGRUP,-31.168319,23.26105
EGSAN,-28.002978,27.143267
EGSIL,-30.915481,26.801892
EGSOX,-28.392206,34.69205
EGTAR,-28.127269,18.351411
EGTIL,-31.039803,22.865411
EGVAS,-28.768344,20.999258
EGVIN,-33.614103,20.140731
EKBAT,-27.513431,17.832722
EKBED,-39.216667,0.0
EKBEX,-28.010861,25.789989
EKBON,-28.309706,17.618417
EKBOX,-34.912803,25.128206
ENAKU,-33.766667,18.3
EPLUK,-31.508389,27.961778
EPNAD,-30.534247,17.328453
EPNAK,-30.4823,30.193147
EPNIS,-25.478533,29.50175
EPNOS,-32.043181,27.770814
EPRET,-26.85885,32.429367
EPSAK,-27.198606,29.161533
EPSEK,-23.454167,31.5625
EPSID,-33.432317,25.776808
EPTAM,-32.554214,23.726108
EPTUS,-32.466828,24.0031
EPVOL,-23.920669,28.601514
ERBAP,-31.97015,26.638453
ERBER,-33.883597,19.600978
ERBIK,-31.4395,27.090069
ERBUT,-31.355303,29.009828
ERDER,-32.568189,23.194619
ERDIM,-26.797867,26.016019
ERPOL,-34.003983,22.151811
ESRAS,-25.896111,31.153894
ESRET,-29.277683,33.13485
ESTAG,-31.620886,29.476108
ESTAM,-28.146953,14.420953
ESTED,-26.758928,27.587711
ESVIR,-28.088486,30.828819
ETBUX,-25.906611,26.266133
ETKAL,-32.913444,22.560008
ETKID,-30.523592,20.380747
ETKOT,-30.538294,18.064453
ETMAL,-27.572803,30.383475
ETMIG,-30.862589,27.296483
ETMIT,-23.213469,27.628525
ETMUS,-28.333275,16.451619
ETOBO,-23.65,-10.0
ETODI,-31.155878,24.975928
ETOLA,-31.304778,28.004472
ETULA,-34.35,10.0
ETULI,-24.821583,28.239069
ETUPO,-28.185544,18.119389
EVAGA,-32.942322,23.655397
EVARI,-27.680253,30.054219
EVEKA,-27.977408,28.706567
EVILI,-31.605122,27.692069
EVIPI,-24.866722,27.848431
EVISO,-34.016089,24.779
EVOPO,-25.206717,27.194
EVUKA,-33.958014,20.201903
EVUKI,-33.166872,18.350514
EXAKO,-33.370536,17.187936
EXALA,-25.145992,29.193769
EXANO,-26.630142,26.843067
EXATA,-29.752703,30.026447
EXELO,-33.325108,22.407328
EXIRA,-31.704308,27.919142
EXOBI,-26.047853,29.147658
GABNA,-24.16735,28.566372
GENOL,-33.739931,24.033511
GENOX,-33.567125,26.222339
GEPES,-28.010275,25.296619
GEPOK,-34.196644,22.078425
GERAM,-34.05,0.0
GERAX,-27.315967,31.386364
GERID,-32.752258,23.54495
GEROX,-27.380281,28.828642
GESEP,-32.916464,26.54995
GESOX,-31.200594,27.175844
GEVIN,-27.698319,14.168975
GEVIS,-29.585453,33.946872
GIDEL,-26.028333,30.788611
GOMBA,-27.500467,27.399664
IBNIS,-32.643592,18.715617
IBRIS,-28.866667,25.95
IBTEK,-29.717789,25.213203
IBTOV,-30.831983,28.107828
IBVIK,-32.667442,23.363431
IBVIT,-28.414894,21.000122
IMGEV,-27.985917,28.29225
IMGOS,-31.077564,30.091694
IMLED,-30.538661,18.546964
IMLUK,-31.678814,27.003719
IMLUT,-30.509972,15.684094
IMPOK,-27.5,14.058333
IMRAB,-31.539586,26.801783
IMSAD,-32.955253,23.358131
IMSOM,-33.934417,18.008678
IMTET,-26.338375,30.885158
ITGAD,-31.716667,10.0
ITGIV,-32.933333,-10.0
ITKIT,-33.360353,26.164003
ITKOT,-28.061436,18.611217
ITLIK,-35.266667,14.999167
ITMAM,-34.097783,24.006267
ITMEK,-34.2,15.0
ITMIX,-25.727811,31.948883
ITNOK,-31.4121,28.231378
ITNOX,-28.242858,17.889272
ITORI,-29.364408,31.602011
ITPAS,-31.871186,26.439222
ITPOL,-30.985053,28.369425
ITROL,-25.035547,27.434825
ITSAV,-25.846581,29.668103
KAPOR,-28.491272,17.908428
KATOR,-33.488739,22.642881
KODES,-33.144444,18.755556
MITAR,-27.878739,18.314406
NADEM,-28.166667,27.0
NESAG,-24.946722,28.850983
NESAN,-25.496911,28.118211
NESEK,-25.031667,26.616667
NETEL,-27.385111,27.644306
NETIK,-30.646881,30.383194
NEVEN,-27.483097,28.049194
NEVES,-25.413269,27.004483
NEVIR,-34.264472,20.165064
NIDEM,-29.569306,28.735861
NOKOX,-33.020619,19.717594
NOPIP,-25.760025,29.043267
ODKER,-24.141667,28.083333
OKBIL,-31.212294,23.397586
OKBOX,-29.88,31.153333
OKDEM,-31.868222,26.935064
OKDOG,-33.083333,15.0
OKLOK,-32.808117,19.3772
OKNOL,-32.679769,18.224669
OKNON,-31.633064,26.530281
OKPIT,-25.462283,28.742378
OKSAD,-26.822778,30.799722
OKSET,-34.216969,24.633897
OKTED,-34.22,19.558333
OKTEK,-27.476542,28.463378
OKTEL,-28.131614,15.0
ORKAN,-24.541667,26.916667
ORNAD,-25.916667,31.966667
ORNUL,-31.100183,28.050128
OSEPA,-23.000642,-0.001053
OTALA,-31.210428,23.391672
OVALA,-26.817608,28.629083
PAREK,-28.495511,16.265975
PARIR,-33.616667,19.266667
PEDIL,-25.659353,26.859458
R1722,-25.844092,28.224631
R1725,-33.987742,18.608892
R1726,-33.959842,18.60005
R1732,-29.978933,30.942667
R1733,-29.960967,30.957369
RAGUL,-26.448431,27.578858
RAXES,-36.433333,57.0
RIV06,-33.754011,18.471408
RIV12,-33.693153,18.567886
RIV20,-33.868422,18.756306
RIV57,-33.906872,18.517975
RUDAS,-24.323333,26.735
SUDUS,-32.934556,21.166775
TAVLA,-22.623333,28.293333
TETAN,-33.663333,19.416111
TETIK,-26.570606,29.640369
TETUS,-25.526222,25.639086
TEVAR,-27.205936,27.309233
TEVOK,-31.631111,29.494167
TIBIS,-28.804917,16.627542
TIBUM,-30.545267,29.564911
