IDENT,LATITUDE,LONGITUDE
24VLS,-15.186667,28.825556
25VLS,-15.616944,28.107778
27VLS,-14.973056,28.7075
ABOKR,-14.59,29.428333
AMFUE,-12.933333,31.666667
ANVAM,-14.0,28.3
APDAR,-14.033333,22.0
APGEL,-11.094875,31.783283
APGIK,-13.820036,30.472192
APKUS,-14.416667,22.316667
APLUX,-13.145631,30.366006
AVEKA,-13.416667,30.033333
AVEKU,-13.966667,28.565556
AVOMU,-17.233333,26.448333
AVONI,-15.633333,22.866667
AVUPA,-14.233333,27.683333
AXERO,-14.25,30.3
EGPAK,-12.901667,27.818333
EKBEG,-12.2264,32.614972
EKBOV,-10.666667,30.0
EKBUG,-17.231667,26.448333
EPMAG,-17.582778,23.686667
EPNUL,-13.593889,22.002778
ETBOM,-15.516667,27.616667
ETLUN,-16.466667,28.116667
ETOLI,-12.191053,32.588725
EVOLU,-15.711667,26.638333
GADBA,-15.948333,29.03
GEPET,-12.941667,30.334011
GESUD,-14.52,30.583333
GIPVO,-11.666667,33.3
IBNOP,-14.993333,29.321667
ITKAN,-10.846667,31.976667
ITLOR,-12.166711,25.103731
IXALU,-14.08,31.733333
IXATA,-15.37335,25.947081
KURMA,-16.75,26.966667
LABON,-13.666667,32.8
LAGNA,-14.488889,30.444444
NESAK,-14.463333,30.733333
NIDOS,-13.066667,26.851667
NIDOT,-11.757222,29.833333
OKDAR,-14.633333,29.35
OKSIX,-14.1025,29.408889
SENGI,-13.138333,30.308333
SHEM,-9.506111,33.011111
SONPO,-11.333333,28.333333
TEVAS,-14.371667,32.058333
TIMAX,-15.39,29.3
TOBAN,-12.353333,28.126667
UDNOR,-11.565278,23.9825
UDPIX,-13.578333,32.266667
UPDOR,-15.923333,27.815
UVKAT,-12.166667,28.75
VLI18,-17.604444,26.044444
VLS23,-15.351667,28.850556
VLS24,-15.405278,27.996111
VLS25,-15.060556,28.751111
VLS26,-15.645,28.701667
VLS27,-15.746389,28.417778
VLS35,-14.851944,28.068333
VLS39,-14.680556,28.505
VLS40,-14.675,28.268611
VLS50,-16.164722,28.415556
VLS68,-16.346111,27.8775
VLS81,-14.0,28.114444
VLS83,-15.971944,27.142222
VMF02,-14.038417,32.141667
VMF04,-12.668675,32.497856
VMF06,-13.243056,31.608056
VMF08,-13.381944,32.326667
VMF10,-13.442222,31.008889
VMF12,-12.415556,32.335278
VMF50,-13.209322,31.062267
VND10,-13.054167,29.518333
VND17,-12.790833,28.863611
VND20,-13.0,29.0
VND29,-13.480556,28.598889
VND30,-12.501944,28.736389
VND32,-13.457778,28.876667
VND33,-12.570036,28.311139
VND66,-14.005589,29.130572
XOSIV,-18.047206,26.656744
