IDENT,LATITUDE,LONGITUDE
APGID,-19.498056,31.373611
APLIS,-18.213889,31.724722
AVEBO,-18.504167,32.298611
AVIVA,-15.668056,29.95
AVOSI,-17.108611,32.247222
AXILA,-19.093611,31.308889
EGMOK,-17.153889,29.559444
ENAKU,-16.712778,32.82
ESPOK,-16.084722,30.833333
ESRON,-18.619722,30.207222
ESTAK,-16.851236,27.999883
EXALO,-18.638889,28.555556
GEVAT,-18.223611,30.028611
IBRAK,-18.987722,27.299806
IXEMI,-18.3326,28.543475
KATAK,-17.744444,33.006389
KOBOD,-16.428056,32.105
KURLA,-21.969181,31.766656
MAKIR,-16.184722,31.55
MENSO,-18.781111,32.835
RETAR,-16.629444,28.471667
UDBAR,-19.984528,27.160736
USUBI,-16.504722,32.533333
UTROV,-19.087064,26.925575
UTULI,-22.184164,29.458256
XOTON,-18.591872,26.796939
